frame,ID,center_x,center_y,v_x,v_y,a_x,a_y,lane,preceding_rel_v_x,preceding_rel_v_y,right_preceding_rel_v_x,right_preceding_rel_v_y,left_preceding_rel_v_x,left_preceding_rel_v_y,following_rel_v_x,following_rel_v_y,right_following_rel_v_x,right_following_rel_v_y,left_following_rel_v_x,left_following_rel_v_y,preceding_distance,right_preceding_distance,left_preceding_distance,following_distance,right_following_distance,left_following_distance
0.0,19,1334.98,556.2,0.0,0.0,0.0,0.0,2,,,0.0,0.0,,,,,0.0,0.0,,,,107.11968633262515,,,34.83146278869154,
0.03,19,1332.75,556.15,-20.65,-0.46,0.0,0.0,2,,,20.65,0.46,,,,,20.65,0.46,,,,104.7337815606788,,,36.57417804954747,
0.07,19,1330.38,556.04,-21.94,-1.02,-43.0,-18.67,2,,,21.94,1.02,,,,,21.94,1.02,,,,102.55171573406278,,,38.78290860675631,
0.1,19,1327.84,555.97,-23.52,-0.65,-52.67,12.33,2,,,23.52,0.65,,,,,23.52,0.65,,,,99.9701805540032,,,40.96511930899265,
0.13,19,1325.37,555.68,-22.87,-2.69,21.67,-68.0,2,,,22.87,2.69,,,,,22.87,2.69,,,,97.59508184329792,,,43.191250271322474,
0.17,19,1322.94,555.64,-22.5,-0.37,12.33,77.33,2,,,22.5,0.37,,,,,22.5,0.37,,,,95.18989232056109,,,45.40636078788966,
0.2,19,1320.57,555.44,-21.94,-1.85,18.67,-49.33,2,,,21.94,1.85,,,,,21.94,1.85,,,,92.47792385212816,,,47.190991725116426,
0.23,19,1318.0,555.35,-23.8,-0.83,-62.0,34.0,2,,,23.8,0.83,,,,,23.8,0.83,,,,90.01771047966069,,,49.651248725485395,
0.27,19,1315.54,555.42,-22.78,0.65,34.0,49.33,2,,,22.78,-0.65,,,,,22.78,-0.65,,,,87.89047957543528,,,52.23766935842388,
0.3,19,1313.32,555.42,-20.56,0.0,74.0,-21.67,2,,,20.56,0.0,,,,,20.56,0.0,,,,85.64339320694863,,,54.24322261812998,
0.33,19,1310.96,555.13,-21.85,-2.69,-43.0,-89.67,2,,,21.85,2.69,,,,,21.85,2.69,,,,83.24839037482948,,,56.372891534850346,
0.37,19,1308.43,555.05,-23.43,-0.74,-52.67,65.0,2,,,23.43,0.74,,,,,23.43,0.74,,,,80.67793812437215,,,58.681828533201035,
0.4,19,1306.13,554.91,-21.3,-1.3,71.0,-18.67,2,,,21.3,1.3,,,,,21.3,1.3,,,,78.24044606212325,,,60.67578841679788,
0.43,19,1303.86,554.83,-21.02,-0.74,9.33,18.67,2,,,21.02,0.74,,,,,21.02,0.74,,,,75.80399527729406,,,62.5961931749849,
0.47,19,1301.49,554.8,-21.94,-0.28,-30.67,15.33,2,,,21.94,0.28,,,,,21.94,0.28,,,,73.4826952418051,,,64.84462969282818,
0.5,19,1298.89,554.6,-24.07,-1.85,-71.0,-52.33,2,,,24.07,1.85,,,,,24.07,1.85,,,,71.5384456079387,,,67.93383913779657,
0.53,19,1296.61,554.5,-21.11,-0.93,98.67,30.67,2,,,21.11,0.93,,,,,21.11,0.93,,,,69.43485940073613,,,70.23884110661282,
0.57,19,1294.15,554.44,-22.78,-0.56,-55.67,12.33,2,,,22.78,0.56,,,,,22.78,0.56,,,,67.12892148694192,,,72.68503009561186,
0.6,19,1292.02,554.27,-19.72,-1.57,102.0,-33.67,2,,,19.72,1.57,,,,,19.72,1.57,,,,64.92797394035956,,,74.60463859573343,
0.63,19,1289.55,554.22,-22.87,-0.46,-105.0,37.0,2,,,22.87,0.46,,,,,22.87,0.46,,,,62.58141337489917,,,77.02302253222736,
0.67,19,1287.04,554.22,-23.24,0.0,-12.33,15.33,2,,,23.24,0.0,,,,,23.24,0.0,,,,60.41143352048529,,,79.70018632349617,
0.7,19,1284.74,554.05,-21.3,-1.57,64.67,-52.33,2,,,21.3,1.57,,,,,21.3,1.57,,,,58.43605907314412,,,82.19207565209696,
0.73,19,1282.41,553.98,-21.57,-0.65,-9.0,30.67,2,,,21.57,0.65,,,,,21.57,0.65,,,,56.342559402284984,,,84.57882950242339,
0.77,19,1279.73,553.92,-24.81,-0.56,-108.0,3.0,2,,,24.81,0.56,,,,,24.81,0.56,,,,53.70514407391522,,,87.07866845559843,
0.8,19,1277.41,553.79,-21.48,-1.2,111.0,-21.33,2,,,21.48,1.2,,,,,21.48,1.2,,,,51.39960505684852,,,89.21473925310775,
0.83,19,1274.89,553.73,-23.33,-0.56,-61.67,21.33,2,,,23.33,0.56,,,,,23.33,0.56,,,,48.88893228533434,,,91.51290892546271,
0.87,19,1272.47,553.82,-22.41,0.83,30.67,46.33,2,,,22.41,-0.83,,,,,22.41,-0.83,,,,46.91697880298778,,,94.13313550498576,
0.9,19,1270.15,553.65,-21.48,-1.57,31.0,-80.0,2,,,21.48,1.57,,,,,21.48,1.57,,,,45.067355147601006,,,96.7342385094338,
0.93,19,1267.57,553.48,-23.89,-1.57,-80.33,0.0,2,,,23.89,1.57,,,,,23.89,1.57,,,,42.588891744209505,,,99.14092797629057,
0.97,19,1265.15,553.38,-22.41,-0.93,49.33,21.33,2,,,22.41,0.93,,,,,22.41,0.93,,,,40.408520141178236,,,101.5307347555409,
1.0,19,1262.82,553.41,-21.57,0.28,28.0,40.33,2,,,21.57,-0.28,,,,,21.57,-0.28,,,,38.29766703077359,,,103.73266120176426,
1.03,19,1260.44,553.18,-22.04,-2.13,-15.67,-80.33,2,,,22.04,2.13,,,,,22.04,2.13,,,,35.97144006013649,,,105.85038686750285,
1.07,19,1258.41,553.12,-18.8,-0.56,108.0,52.33,2,,,18.8,0.56,,,,,18.8,0.56,,,,34.25163499747123,,,107.85418721588891,
1.1,19,1256.12,552.87,-21.2,-2.31,-80.0,-58.33,2,,,21.2,2.31,,,,,21.2,2.31,,,,32.08317004287443,,,109.89413132647257,
1.13,19,1253.63,552.77,-23.06,-0.93,-62.0,46.0,2,,,23.06,0.93,,,,,23.06,0.93,,,,29.89656334764922,,,112.163372363709,
1.17,19,1251.44,552.71,-20.28,-0.56,92.67,12.33,2,,,20.28,0.56,,,,,20.28,0.56,,,,28.121155737273778,,,114.23029808242656,
1.2,19,1248.74,552.58,-25.0,-1.2,-157.33,-21.33,2,,,25.0,1.2,,,,,25.0,1.2,,,,25.84622989915548,,,116.55793623773545,
1.23,19,1246.2,552.35,-23.52,-2.13,49.33,-31.0,2,,,23.52,2.13,,,,,23.52,2.13,,,,23.724369327760936,,,118.63716871200201,
1.27,19,1244.13,552.36,-19.17,0.09,145.0,74.0,2,,,19.17,-0.09,,,,,19.17,-0.09,,,,22.69636094178982,,,121.02306928846274,
1.3,19,1241.69,552.12,-22.59,-2.22,-114.0,-77.0,2,,,22.59,2.22,,,,,22.59,2.22,,,,21.226928652068302,,,123.54151731300712,
1.33,19,1239.19,551.95,-23.15,-1.57,-18.67,21.67,2,,,23.15,1.57,,,,,23.15,1.57,,,,20.16553991342663,,,126.59649007772695,
1.37,19,1237.01,551.94,-20.19,-0.09,98.67,49.33,2,,,20.19,0.09,,,,,20.19,0.09,,,,19.328176323699047,,,128.84361062932075,
1.4,19,1234.44,551.77,-23.8,-1.57,-120.33,-49.33,2,,,23.8,1.57,,,,,23.8,1.57,,,,18.424508134547263,,,131.40374804395822,
1.43,19,1231.95,551.58,-23.06,-1.76,24.67,-6.33,2,,,23.06,1.76,,,,,23.06,1.76,,,,17.822224889165785,,,133.8239829029162,
1.47,19,1229.61,551.48,-21.67,-0.93,46.33,27.67,2,,,21.67,0.93,,,,,21.67,0.93,,,,17.64548667506792,,,136.3534117651629,
1.5,19,1227.39,551.36,-20.56,-1.11,37.0,-6.0,2,,,20.56,1.11,,,,,20.56,1.11,,,,17.713342428802047,,,138.59304203314124,
1.53,19,1224.76,551.19,-24.35,-1.57,-126.33,-15.33,2,,,24.35,1.57,,,,,24.35,1.57,,,,18.188845482877717,,,140.9884342774258,
1.57,19,1222.72,551.24,-18.89,0.46,182.0,67.67,2,,,18.89,-0.46,,,,,18.89,-0.46,,,,18.951519727979576,,,143.0051415159609,
1.6,19,1219.96,551.09,-25.56,-1.39,-222.33,-61.67,2,,,25.56,1.39,,,,,25.56,1.39,,,,20.23607916568816,,,145.43345729233016,
1.63,19,1217.2,551.03,-25.56,-0.56,0.0,27.67,2,,,25.56,0.56,,,,,25.56,0.56,,,,21.8697622300746,,,147.99956925612992,
1.67,19,1214.75,551.15,-22.69,1.11,95.67,55.67,2,,,22.69,-1.11,,,,,22.69,-1.11,,,,23.592308068520918,,,150.38140609796156,
1.7,19,1212.59,550.93,-20.0,-2.04,89.67,-105.0,2,,,20.0,2.04,,,,,20.0,2.04,,,,24.676063300291553,,,152.91551948706845,
1.73,19,1210.17,550.9,-22.41,-0.28,-80.33,58.67,2,,,22.41,0.28,,,,,22.41,0.28,,,,26.440189106736735,,,155.34572668728302,
1.77,19,1207.81,551.04,-21.85,1.3,18.67,52.67,2,,,21.85,-1.3,,,,,21.85,-1.3,,,,28.51223596984281,,,157.53002634418638,
1.8,19,1205.23,551.02,-23.89,-0.19,-68.0,-49.67,2,,,23.89,0.19,,,,,23.89,0.19,,,,30.797175195137548,,,159.86162641484677,
1.83,19,1202.71,551.01,-23.33,-0.09,18.67,3.33,2,,,23.33,0.09,,,,,23.33,0.09,,,,33.05006051431675,,,162.21416245198836,
1.87,19,1200.51,551.0,-20.37,-0.09,98.67,0.0,2,,,20.37,0.09,,,,,20.37,0.09,,,,34.865285026799846,,,164.49710301400467,
1.9,19,1198.48,550.77,-18.8,-2.13,52.33,-68.0,2,,,18.8,2.13,,,,,18.8,2.13,,,,36.335208820096106,,,166.74445867854217,
1.93,19,1196.02,550.48,-22.78,-2.69,-132.67,-18.67,2,,,22.78,2.69,,,,,22.78,2.69,,,,38.24922482874657,,,169.3477561114998,
1.97,19,1193.35,550.34,-24.72,-1.3,-64.67,46.33,2,,,24.72,1.3,,,,,24.72,1.3,,,,40.795662759661056,,,171.8026425873596,
2.0,19,1191.11,550.56,-20.74,2.04,132.67,111.33,2,,,20.74,-2.04,,,,,20.74,-2.04,,,,42.313535659407954,,,174.72083819624964,
2.03,19,1188.26,550.18,-26.39,-3.52,-188.33,-185.33,2,,,26.39,3.52,,,,,26.39,3.52,,,,45.113169917442,,,177.22062408196186,
2.07,19,1186.1,549.9,-20.0,-2.59,213.0,31.0,2,,,20.0,2.59,,,,,20.0,2.59,,,,47.06486162733297,,,179.3089548795598,
2.1,19,1183.7,549.86,-22.22,-0.37,-74.0,74.0,2,,,22.22,0.37,,,,,22.22,0.37,,,,49.43756972182186,,,181.5922575442028,
2.13,19,1181.33,549.8,-21.94,-0.56,9.33,-6.33,2,,,21.94,0.56,,,,,21.94,0.56,,,,51.66682881694971,,,183.94442312829176,
2.17,19,1178.76,549.82,-23.8,0.19,-62.0,25.0,2,,,23.8,-0.19,,,,,23.8,-0.19,,,,54.05598949237714,,,186.58100439219444,
2.2,19,1175.99,549.82,-25.65,0.0,-61.67,-6.33,2,,,25.65,0.0,,,,,25.65,0.0,,,,56.58337918505749,,,189.47609136775023,
2.23,19,1173.57,549.6,-22.41,-2.04,108.0,-68.0,2,,,22.41,2.04,,,,,22.41,2.04,,,,58.68576062385148,,,192.0494230660431,
2.27,19,1171.51,549.4,-19.07,-1.85,111.33,6.33,2,,,19.07,1.85,,,,,19.07,1.85,,,,60.38903956845139,,,194.33495027915095,
2.3,19,1168.97,549.29,-23.52,-1.02,-148.33,27.67,2,,,23.52,1.02,,,,,23.52,1.02,,,,62.926167053142514,,,196.75558060700592,
2.33,19,1166.62,549.29,-21.76,0.0,58.67,34.0,2,,,21.76,0.0,,,,,21.76,0.0,,,,65.2747952888403,,,199.03242374045513,
2.37,19,1164.01,549.21,-24.17,-0.74,-80.33,-24.67,2,,,24.17,0.74,,,,,24.17,0.74,,,,67.7076103551145,,,201.7146781967044,
2.4,19,1161.42,549.06,-23.98,-1.39,6.33,-21.67,2,,,23.98,1.39,,,,,23.98,1.39,,,,70.39503746713969,,,204.10402960255354,
2.43,19,1159.35,548.88,-19.17,-1.67,160.33,-9.33,2,,,19.17,1.67,,,,,19.17,1.67,,,,72.25268507121385,,,206.302505074466,
2.47,19,1157.26,548.66,-19.35,-2.04,-6.0,-12.33,2,,,19.35,2.04,,,,,19.35,2.04,,,,74.22455995154165,,,208.3996096445481,
2.5,19,1154.78,548.68,-22.96,0.19,-120.33,74.33,2,,,22.96,-0.19,,,,,22.96,-0.19,,,,76.62084899033688,,,210.92778385030272,
2.53,19,1152.4,548.4,-22.04,-2.59,30.67,-92.67,2,,,22.04,2.59,,,,,22.04,2.59,,,,79.13104321314104,,,213.04281095592046,
2.57,19,1149.79,548.18,-24.17,-2.04,-71.0,18.33,2,,,24.17,2.04,,,,,24.17,2.04,,,,81.62943831731285,,,215.67060740861285,
2.6,19,1147.15,548.04,-24.44,-1.3,-9.0,24.67,2,,,24.44,1.3,,,,,24.44,1.3,,,,84.06794632914486,,,218.4521302253656,
2.63,19,1144.76,547.93,-22.13,-1.02,77.0,9.33,2,,,22.13,1.02,,,,,22.13,1.02,,,,86.36707821849714,,,220.87548211605565,
2.67,19,1142.61,547.77,-19.91,-1.48,74.0,-15.33,2,,,19.91,1.48,,,,,19.91,1.48,,,,88.32538310134863,,,223.15714754405695,
2.7,19,1140.09,547.67,-23.33,-0.93,-114.0,18.33,2,,,23.33,0.93,,,,,23.33,0.93,,,,90.59188595012245,,,225.89108548147715,
2.73,19,1137.55,547.53,-23.52,-1.3,-6.33,-12.33,2,,,23.52,1.3,,,,,23.52,1.3,,,,93.37897514965549,,,228.1140613815817,
2.77,19,1134.95,547.44,-24.07,-0.83,-18.33,15.67,2,,,24.07,0.83,,,,,24.07,0.83,,,,95.98833470792165,,,230.64889702749502,
2.8,19,1132.34,547.51,-24.17,0.65,-3.33,49.33,2,,,24.17,-0.65,,,,,24.17,-0.65,,,,98.65170500300543,,,233.19973949385127,
2.83,19,1129.93,547.48,-22.31,-0.28,62.0,-31.0,2,,,22.31,0.28,,,,,22.31,0.28,,,,101.04486132406724,,,235.6070085969431,
2.87,19,1127.55,547.35,-22.04,-1.2,9.0,-30.67,2,,,22.04,1.2,,,,,22.04,1.2,,,,103.24771038623558,,,238.11069379597384,
2.9,19,1124.99,547.26,-23.7,-0.83,-55.33,12.33,2,,,23.7,0.83,,,,,23.7,0.83,,,,105.80453156646935,,,240.62596451754746,
2.93,19,1122.46,547.2,-23.43,-0.56,9.0,9.0,2,,,23.43,0.56,,,,,23.43,0.56,,,,108.456011820461,,,243.01246737564733,
2.97,19,1120.06,547.2,-22.22,0.0,40.33,18.67,2,,,22.22,0.0,,,,,,,,,,245.58097646193997,,,,
3.0,19,1117.59,547.28,-22.87,0.74,-21.67,24.67,2,,,22.87,-0.74,,,,,,,,,,248.08225168278344,,,,
