frame,leading,right_leading,left_leading,following,right_following,left_following
0.0,,,29,,,73
0.03,,,29,,,73
0.07,,,29,,,73
0.1,,,29,,,73
0.13,,,29,,,73
0.17,,,29,,,73
0.2,,,29,,,73
0.23,,,29,,,73
0.27,,,29,,,73
0.3,,,29,,,73
0.33,,,3,,,73
0.37,,,3,,,36
0.4,,,3,,,36
0.43,,,3,,,36
0.47,,,3,,,36
0.5,,,14,,,36
0.53,,,14,,,36
0.57,,,14,,,36
0.6,,,14,,,36
0.63,,,14,,,36
0.67,,,14,,,36
0.7,,,14,,,36
0.73,,,14,,,36
0.77,,,14,,,36
0.8,,,14,,,36
0.83,,,14,,,36
0.87,,,14,,,29
0.9,,,14,,,29
0.93,,,14,,,29
0.97,,,14,,,29
1.0,,,46,,,29
1.03,,,46,,,29
1.07,,,46,,,29
1.1,,,46,,,29
1.13,,,46,,,29
1.17,,,46,,,29
1.2,,,46,,,29
1.23,,,46,,,29
1.27,,,46,,,29
1.3,,,46,,,29
1.33,,,46,,,29
1.37,,,46,,,29
1.4,,,46,,,29
1.43,,,46,,,29
1.47,,,46,,,29
1.5,,,84,,,29
1.53,,,84,,,29
1.57,,,84,,,29
1.6,,,84,,,29
1.63,,,46,,,84
1.67,,,46,,,84
1.7,,,46,,,84
1.73,,,46,,,84
1.77,,,46,,,84
1.8,,,46,,,84
1.83,,,46,,,84
1.87,,,46,,,84
1.9,,,46,,,84
1.93,,,46,,,84
1.97,,,46,,,84
2.0,,,46,,,84
2.03,,,46,,,84
2.07,,,46,,,84
2.1,,,46,,,84
2.17,,,46,,,84
2.2,,,46,,,84
2.23,,,46,,,84
2.27,,,46,,,84
2.3,,,46,,,84
2.33,,,46,,,84
2.37,,,46,,,84
2.4,,,46,,,84
2.43,,,46,,,84
2.47,,,46,,,84
2.5,,,46,,,84
2.53,,,46,,,84
2.57,,,46,,,84
2.6,,,46,,,84
2.63,,,46,,,84
2.67,,,46,,,14
2.7,,,46,,,14
2.73,,,46,,,14
2.77,,,41,,,46
2.8,,,41,,,46
2.83,,,41,,,46
2.87,,,41,,,84
2.9,,,41,,,46
2.93,,,41,,,46
2.97,,,41,,,46
3.0,,,41,,,46
3.03,,,41,,,46
3.07,,,41,,,46
3.1,,,41,,,46
3.13,,,41,,,46
3.17,,,41,,,46
3.2,,,41,,,46
3.23,,,43,,,46
3.27,,,43,,,46
3.3,,,43,,,46
3.33,,,43,,,46
3.37,,,43,,,46
3.4,,,43,,,46
3.43,,,43,,,46
3.47,,,43,,,46
3.5,,,43,,,46
3.53,,,43,,,46
3.57,,,43,,,46
3.6,,,43,,,46
3.63,,,43,,,46
3.67,,,43,,,46
3.7,,,43,,,46
3.73,,,43,,,46
3.77,,,43,,,46
3.8,,,43,,,46
3.83,,,43,,,46
3.87,,,43,,,46
3.9,,,43,,,46
3.93,,,43,,,46
3.97,,,43,,,46
4.0,,,43,,,46
4.03,,,43,,,46
4.07,,,43,,,46
4.1,,,43,,,46
4.13,,,43,,,46
4.17,,,43,,,46
4.2,,,43,,,46
4.23,,,43,,,46
4.27,,,47,,,46
4.3,,,47,,,46
4.33,,,47,,,46
4.37,,,47,,,46
4.4,,,47,,,46
4.43,,,47,,,46
4.47,,,47,,,46
4.5,,,47,,,46
4.53,,,47,,,46
4.57,,,47,,,46
4.6,,,47,,,46
4.63,,,47,,,46
4.67,,,47,,,46
4.7,,,47,,,46
4.73,,,47,,,46
4.77,,,47,,,46
4.8,,,58,,,46
4.83,,,58,,,46
