frame,leading,right_leading,left_leading,following,right_following,left_following
0.0,,,,,,32.0
0.03,,,,,,32.0
0.07,,,,,,32.0
0.1,,,,,,32.0
0.13,,,,,,32.0
0.17,,,,,,32.0
0.2,,,,,,32.0
0.23,,,,,,32.0
0.27,,,,,,32.0
0.3,,,,,,32.0
0.33,,,,,,32.0
0.37,,,,,,32.0
0.4,,,51.0,,,32.0
0.43,,,51.0,,,32.0
0.47,,,51.0,,,32.0
0.53,,,51.0,,,32.0
0.57,,,51.0,,,32.0
0.6,,,51.0,,,32.0
0.63,,,51.0,,,32.0
0.67,,,51.0,,,32.0
0.7,,,51.0,,,32.0
0.73,,,51.0,,,32.0
0.77,,,51.0,,,32.0
0.8,,,51.0,,,32.0
0.83,,,51.0,,,32.0
0.87,,,51.0,,,32.0
0.9,,,51.0,,,32.0
0.93,,,51.0,,,32.0
0.97,,,51.0,,,32.0
1.0,,,51.0,,,32.0
1.03,,,51.0,,,32.0
1.07,,,51.0,,,32.0
1.1,,,51.0,,,32.0
1.13,,,51.0,,,32.0
1.17,,,51.0,,,32.0
1.2,,,51.0,,,32.0
1.23,,,51.0,,,32.0
1.27,,,51.0,,,32.0
1.3,,,51.0,,,32.0
1.33,,,51.0,,,32.0
1.37,,,51.0,,,32.0
1.4,,,51.0,,,32.0
1.43,,,51.0,,,32.0
1.47,,,51.0,,,32.0
1.5,,,51.0,,,32.0
1.53,,,51.0,,,32.0
1.57,,,51.0,,,32.0
1.6,,,51.0,,,32.0
1.63,,,51.0,,,32.0
1.67,,,51.0,,,32.0
1.7,,,51.0,,,32.0
1.73,,,51.0,,,32.0
1.77,,,51.0,,,32.0
1.8,,,51.0,,,32.0
1.83,,,51.0,,,32.0
1.87,,,51.0,,,32.0
1.9,,,51.0,,,32.0
1.93,,,51.0,,,32.0
1.97,,,51.0,,,32.0
2.0,,,51.0,,,32.0
2.03,,,51.0,,,32.0
2.07,,,51.0,,,32.0
2.1,,,51.0,,,32.0
2.13,,,51.0,,,32.0
2.17,,,51.0,,,32.0
2.2,,,51.0,,,32.0
2.23,,,51.0,,,32.0
2.27,,,51.0,,,32.0
2.3,,,51.0,,,32.0
2.33,,,51.0,,,32.0
2.37,,,51.0,,,32.0
2.4,,,51.0,,,32.0
2.43,,,51.0,,,32.0
