frame,leading,right_leading,left_leading,following,right_following,left_following
2.37,,,36.0,,,
2.4,,,36.0,,,
2.43,,,36.0,,,
2.47,,,36.0,,,
2.5,,,36.0,,,
2.53,,,36.0,,,
2.57,,,36.0,,,
2.6,,,36.0,,,
2.63,,,36.0,,,
2.67,,,36.0,,,
2.7,,,36.0,,,
2.73,,,36.0,,,
2.77,,,36.0,,,
2.8,,,36.0,,,
2.83,,,36.0,,,
2.87,,,36.0,,,
2.9,,,36.0,,,
2.93,,,36.0,,,
2.97,,,36.0,,,
3.0,,,36.0,,,
3.03,,,36.0,,,
3.07,,,36.0,,,
3.1,,,36.0,,,
3.13,,,36.0,,,
3.17,,,36.0,,,
3.2,,,36.0,,,
3.23,,,36.0,,,
3.27,,,,,,36.0
3.3,,,,,,36.0
3.33,,,,,,36.0
3.37,,,,,,36.0
3.43,,,,,,36.0
3.47,,,,,,36.0
3.5,,,,,,36.0
3.53,,,,,,36.0
3.57,,,,,,36.0
3.6,,,,,,36.0
3.63,,,,,,36.0
3.67,,,,,,36.0
3.7,,,,,,36.0
3.73,,,,,,36.0
3.77,,,,,,36.0
3.8,,,,,,36.0
3.83,,,,,,36.0
3.87,,,,,,36.0
3.9,,,,,,36.0
3.93,,,,,,36.0
3.97,,,,,,36.0
4.0,,,,,,36.0
4.03,,,,,,36.0
4.07,,,,,,36.0
4.1,,,,,,36.0
4.13,,,,,,36.0
4.17,,,,,,36.0
4.2,,,,,,36.0
4.23,,,,,,36.0
4.27,,,,,,36.0
4.3,,,,,,36.0
4.33,,,,,,36.0
4.37,,,,,,36.0
4.4,,,,,,36.0
4.43,,,,,,36.0
4.47,,,,,,36.0
4.5,,,,,,36.0
4.53,,,,,,36.0
4.57,,,,,,36.0
4.6,,,,,,36.0
4.63,,,,,,36.0
4.67,,,10.0,,,36.0
4.7,,,10.0,,,36.0
4.73,,,10.0,,,36.0
4.77,,,10.0,,,36.0
4.8,,,10.0,,,36.0
4.83,,,10.0,,,36.0
4.87,,,10.0,,,36.0
4.9,,,10.0,,,36.0
4.93,,,10.0,,,36.0
4.97,,,10.0,,,36.0
5.0,,,10.0,,,36.0
5.03,,,10.0,,,36.0
5.07,,,10.0,,,36.0
5.1,,,10.0,,,36.0
5.13,,,10.0,,,36.0
5.17,,,10.0,,,36.0
5.2,,,10.0,,,36.0
5.23,,,10.0,,,36.0
5.27,,,10.0,,,36.0
5.3,,,10.0,,,36.0
5.33,,,10.0,,,36.0
5.37,,,10.0,,,36.0
5.4,,,10.0,,,36.0
5.43,,,10.0,,,36.0
5.47,,,10.0,,,36.0
5.5,,,10.0,,,36.0
5.53,,,10.0,,,36.0
5.57,,,10.0,,,36.0
5.6,,,10.0,,,36.0
5.63,,,10.0,,,36.0
5.67,,,10.0,,,36.0
5.7,,,10.0,,,36.0
5.73,,,10.0,,,36.0
5.77,,,10.0,,,36.0
5.8,,,10.0,,,36.0
5.83,,,10.0,,,36.0
5.87,,,10.0,,,36.0
5.9,,,10.0,,,36.0
5.93,,,10.0,,,36.0
5.97,,,10.0,,,36.0
6.0,,,10.0,,,36.0
6.03,,,10.0,,,36.0
6.07,,,10.0,,,36.0
6.1,,,10.0,,,36.0
6.13,,,10.0,,,36.0
6.17,,,10.0,,,36.0
6.2,,,10.0,,,36.0
6.23,,,10.0,,,36.0
6.27,,,10.0,,,36.0
6.3,,,10.0,,,36.0
6.33,,,10.0,,,36.0
