frame,ID,car_type,x1,y1,x2,y2,center_x,center_y,front_x,front_y,back_x,back_y,width,height,lane
0.0,1, white car,177.99,520.46,205.2,533.45,191.59,526.95,177.99,526.95,205.2,526.95,27.21,13.0,2
0.03,1, white car,175.58,520.29,203.24,533.5,189.41,526.89,175.58,526.89,203.24,526.89,27.66,13.21,2
0.07,1, white car,172.76,520.16,200.19,533.27,186.47,526.71,172.76,526.71,200.19,526.71,27.43,13.11,2
0.1,1, white car,170.37,520.06,197.71,533.12,184.04,526.59,170.37,526.59,197.71,526.59,27.34,13.06,2
0.13,1, white car,167.8,519.71,195.64,533.0,181.72,526.35,167.8,526.35,195.64,526.35,27.84,13.28,2
0.17,1, white car,164.81,519.78,192.22,532.86,178.51,526.32,164.81,526.32,192.22,526.32,27.41,13.08,2
0.2,1, white car,161.84,519.54,188.82,532.42,175.33,525.98,161.84,525.98,188.82,525.98,26.99,12.88,2
0.23,1, white car,159.05,519.55,185.59,532.21,172.32,525.88,159.05,525.88,185.59,525.88,26.54,12.66,2
0.3,1, white car,154.26,519.42,180.29,531.81,167.27,525.62,154.26,525.62,180.29,525.62,26.03,12.39,2
0.33,1, white car,151.41,519.46,177.45,531.86,164.43,525.66,151.41,525.66,177.45,525.66,26.04,12.4,2
0.37,1, white car,148.56,519.16,174.67,531.55,161.61,525.35,148.56,525.35,174.67,525.35,26.11,12.39,2
0.4,1, white car,146.37,519.08,171.75,531.1,159.06,525.09,146.37,525.09,171.75,525.09,25.37,12.02,2
0.43,1, white car,143.67,518.95,169.25,531.03,156.46,524.99,143.67,524.99,169.25,524.99,25.58,12.09,2
0.47,1, white car,140.5,518.92,166.34,531.09,153.42,525.01,140.5,525.01,166.34,525.01,25.85,12.17,2
0.5,1, white car,137.58,518.92,163.72,531.21,150.65,525.07,137.58,525.07,163.72,525.07,26.15,12.29,2
0.53,1, white car,135.31,518.91,161.25,531.09,148.28,525.0,135.31,525.0,161.25,525.0,25.94,12.18,2
0.57,1, white car,132.6,518.81,158.38,530.91,145.49,524.86,132.6,524.86,158.38,524.86,25.78,12.1,2
0.6,1, white car,129.36,518.25,156.28,530.91,142.82,524.58,129.36,524.58,156.28,524.58,26.92,12.67,2
0.63,1, white car,127.09,518.09,153.66,530.62,140.38,524.36,127.09,524.36,153.66,524.36,26.56,12.53,2
0.67,1, white car,124.55,518.01,150.19,530.11,137.37,524.06,124.55,524.06,150.19,524.06,25.64,12.09,2
0.7,1, white car,122.14,517.74,147.43,529.66,134.78,523.7,122.14,523.7,147.43,523.7,25.29,11.92,2
