frame,leading,right_leading,left_leading,following,right_following,left_following
0.0,57.0,55.0,,,15.0,
0.03,57.0,55.0,,,15.0,
0.07,57.0,55.0,,,15.0,
0.1,57.0,55.0,,,61.0,
0.13,57.0,55.0,,,61.0,
0.17,57.0,55.0,,,61.0,
0.2,57.0,55.0,,,61.0,
0.23,57.0,,,,15.0,
0.27,57.0,,,,15.0,
0.3,57.0,,,,61.0,
0.33,57.0,,,,15.0,
0.37,57.0,,,,15.0,
0.4,57.0,,,,61.0,
0.43,57.0,,,,61.0,
0.47,57.0,,,,15.0,
0.5,57.0,,,,15.0,
0.53,57.0,,,,61.0,
0.57,57.0,,,,61.0,
0.6,57.0,,,,61.0,
0.63,57.0,,,,61.0,
0.67,57.0,,,,61.0,
0.7,57.0,,,,61.0,
0.73,57.0,,,,61.0,
0.77,57.0,,,,61.0,
0.8,57.0,,,,61.0,
0.83,57.0,,,,15.0,
0.87,57.0,,,,15.0,
0.9,57.0,,,,15.0,
0.93,57.0,,,,15.0,
0.97,57.0,,,,15.0,
1.0,57.0,,,,15.0,
1.03,57.0,,,,15.0,
1.07,57.0,15.0,,,9.0,
1.1,,15.0,,,9.0,
1.13,,15.0,,,9.0,
1.17,,15.0,,,9.0,
1.2,,15.0,,,9.0,
1.23,,15.0,,,9.0,
1.27,,15.0,,,9.0,
1.3,,15.0,,,9.0,
1.33,,15.0,,,9.0,
1.37,57.0,15.0,,,9.0,
1.4,57.0,15.0,,,9.0,
1.43,57.0,15.0,,,9.0,
1.47,,15.0,,,9.0,
1.5,57.0,15.0,,,9.0,
1.53,,15.0,,,9.0,
1.57,57.0,15.0,,,9.0,
1.6,57.0,15.0,,,9.0,
1.63,57.0,15.0,,,9.0,
1.67,,61.0,,,,
1.7,,15.0,,,,
1.73,,15.0,,,,
1.77,57.0,,,,,
1.8,57.0,,,,,
1.83,57.0,,,,,
1.87,57.0,,,,,
1.9,57.0,,,,,
1.93,57.0,,,,,
1.97,57.0,,,,9.0,
2.0,57.0,,,,9.0,
2.03,57.0,,,,9.0,
2.07,57.0,,,,9.0,
2.1,57.0,,,,9.0,
2.13,57.0,,,,9.0,
2.17,57.0,,,,9.0,
2.2,57.0,,,,9.0,
2.23,57.0,,,,9.0,
2.27,57.0,,,,9.0,
2.3,57.0,,,,9.0,
2.33,57.0,,,,9.0,
2.37,57.0,,,,9.0,
2.4,57.0,,,,9.0,
2.43,57.0,,,,9.0,
2.47,57.0,,,,9.0,
2.5,57.0,,,,9.0,
2.53,57.0,,,,9.0,
2.57,57.0,,,,9.0,
2.6,57.0,,,,9.0,
2.63,57.0,,,,9.0,
2.67,57.0,,,,9.0,
2.7,57.0,,,,9.0,
2.73,57.0,,,,9.0,
2.77,57.0,,,,9.0,
2.8,57.0,,,,9.0,
2.83,57.0,,,,9.0,
2.87,57.0,,,,9.0,
2.9,57.0,,,,9.0,
2.93,57.0,,,30.0,9.0,
2.97,57.0,,,30.0,9.0,
3.0,57.0,,,30.0,9.0,
3.03,57.0,9.0,,30.0,,
3.07,57.0,9.0,,30.0,,
3.1,57.0,9.0,,30.0,71.0,
3.13,57.0,9.0,,30.0,71.0,
3.17,57.0,9.0,,30.0,71.0,
3.2,57.0,9.0,,30.0,,
3.23,57.0,9.0,,30.0,,
3.27,57.0,9.0,,30.0,,
3.3,57.0,9.0,,30.0,,
3.33,57.0,9.0,,30.0,,
3.37,57.0,9.0,,30.0,,
3.4,57.0,9.0,,30.0,,
3.43,57.0,9.0,,30.0,,
3.47,57.0,9.0,,30.0,,
3.5,57.0,9.0,,30.0,71.0,
3.53,57.0,9.0,,,,
3.57,57.0,9.0,,,,
3.6,57.0,,,30.0,,
3.63,57.0,,,30.0,,
3.67,57.0,,,30.0,,
3.7,57.0,,,30.0,,
3.73,57.0,,,30.0,,
3.77,57.0,,,30.0,,
3.8,57.0,,,30.0,71.0,
3.83,57.0,,,30.0,71.0,
3.87,57.0,,,30.0,71.0,
3.9,57.0,,,30.0,71.0,
3.93,57.0,,,30.0,71.0,
3.97,57.0,,,30.0,71.0,
4.0,57.0,,,30.0,71.0,
4.03,57.0,,,30.0,71.0,
4.07,57.0,,,30.0,71.0,
4.1,57.0,,,30.0,71.0,
4.13,57.0,,,30.0,71.0,
4.17,57.0,,,30.0,71.0,
4.2,57.0,,,30.0,,
4.23,57.0,,,30.0,,
4.27,57.0,,,30.0,,
4.3,57.0,,,30.0,,
4.33,57.0,,,30.0,,
4.37,57.0,,,30.0,,
4.4,57.0,,,30.0,,
4.43,57.0,,,30.0,71.0,
4.47,57.0,,,30.0,71.0,
4.5,57.0,,,30.0,71.0,
4.53,57.0,,,30.0,71.0,
4.57,57.0,,,30.0,,
4.6,57.0,,,30.0,,
4.63,57.0,,,30.0,,
4.67,57.0,,,30.0,,
4.7,57.0,,,30.0,,
4.73,57.0,,,30.0,6.0,
4.77,57.0,,,30.0,6.0,
4.8,57.0,,,30.0,6.0,
4.83,57.0,,,30.0,6.0,
4.87,57.0,,,30.0,40.0,
4.9,57.0,,,30.0,40.0,
4.93,57.0,,,30.0,40.0,
4.97,57.0,,,30.0,40.0,
5.0,57.0,,,30.0,40.0,
5.03,57.0,,,30.0,40.0,
5.07,57.0,,,30.0,71.0,
5.1,57.0,,,30.0,71.0,
5.13,57.0,,,30.0,71.0,
5.17,57.0,,,30.0,40.0,
5.2,57.0,,,30.0,40.0,
5.23,57.0,,,30.0,40.0,
5.27,57.0,,,30.0,40.0,
5.3,57.0,71.0,,30.0,40.0,
5.33,57.0,71.0,,30.0,40.0,
5.37,57.0,,,30.0,40.0,
5.4,57.0,,,30.0,40.0,
5.43,57.0,,,30.0,40.0,
5.47,57.0,,,30.0,40.0,
5.5,57.0,,,30.0,40.0,
5.53,57.0,,,30.0,40.0,
5.57,57.0,,,30.0,40.0,
5.6,57.0,,,30.0,40.0,
5.63,57.0,,,30.0,40.0,
5.67,57.0,,,30.0,40.0,
5.7,57.0,,,30.0,40.0,
5.73,57.0,,,30.0,40.0,
5.77,57.0,,,30.0,40.0,
5.8,57.0,,,30.0,40.0,
5.83,57.0,,,30.0,40.0,
5.87,57.0,,,30.0,40.0,
5.9,57.0,,,30.0,40.0,
5.93,57.0,,,30.0,40.0,
5.97,57.0,,,30.0,40.0,
6.0,57.0,,,30.0,40.0,
6.03,57.0,,,30.0,40.0,
6.07,57.0,,,30.0,40.0,
6.1,57.0,,,30.0,40.0,
6.13,57.0,,,30.0,40.0,
6.17,57.0,,,30.0,40.0,
6.2,57.0,,,30.0,40.0,
6.23,57.0,,,30.0,40.0,
6.27,57.0,,,30.0,40.0,
6.3,57.0,,,30.0,40.0,
6.33,57.0,,,30.0,40.0,
6.37,57.0,,,30.0,40.0,
6.4,57.0,,,30.0,40.0,
6.43,57.0,,,30.0,40.0,
6.47,57.0,,,30.0,40.0,
6.5,57.0,,,30.0,40.0,
6.53,57.0,,,30.0,40.0,
6.57,57.0,,,30.0,40.0,
6.6,57.0,,,30.0,40.0,
6.63,57.0,,,30.0,40.0,
6.67,57.0,,,30.0,40.0,
6.7,57.0,,,30.0,40.0,
6.73,57.0,,,30.0,40.0,
6.77,57.0,,,30.0,40.0,
6.8,57.0,,,30.0,40.0,
6.83,57.0,,,30.0,40.0,
6.87,57.0,6.0,,30.0,40.0,
6.9,57.0,6.0,,30.0,40.0,
6.93,57.0,6.0,,30.0,40.0,
6.97,57.0,6.0,,30.0,40.0,
7.0,57.0,40.0,,30.0,35.0,
7.03,57.0,40.0,,30.0,35.0,
7.07,57.0,40.0,,30.0,21.0,
7.1,57.0,40.0,,30.0,21.0,
7.13,57.0,40.0,,30.0,35.0,
7.17,57.0,40.0,,30.0,35.0,
7.2,57.0,6.0,,30.0,35.0,
7.23,57.0,40.0,,30.0,35.0,
7.27,57.0,40.0,,30.0,35.0,
7.3,57.0,6.0,,30.0,35.0,
7.33,57.0,40.0,,30.0,35.0,
7.37,57.0,40.0,,17.0,35.0,
7.4,57.0,40.0,,17.0,35.0,
7.43,57.0,40.0,,30.0,35.0,
7.47,57.0,6.0,,30.0,35.0,
7.5,57.0,,,17.0,35.0,
7.53,57.0,40.0,,17.0,35.0,
7.57,57.0,,,30.0,35.0,
7.6,57.0,,,30.0,35.0,
7.63,57.0,,,30.0,35.0,
7.67,57.0,,,30.0,35.0,
7.7,57.0,,,30.0,35.0,
7.73,57.0,,,30.0,35.0,
7.77,57.0,,,17.0,35.0,
7.8,57.0,,,17.0,35.0,
7.83,57.0,,,17.0,35.0,
7.87,57.0,,,17.0,35.0,
7.9,57.0,,,17.0,35.0,
7.93,57.0,,,17.0,35.0,
7.97,57.0,,,30.0,35.0,
8.0,57.0,,,30.0,35.0,
8.03,57.0,,,30.0,35.0,
8.07,57.0,,,30.0,35.0,
8.1,57.0,,,17.0,35.0,
8.13,57.0,21.0,,30.0,35.0,
8.17,57.0,21.0,,30.0,35.0,
8.2,57.0,21.0,,30.0,35.0,
8.23,57.0,21.0,,30.0,35.0,
8.27,57.0,35.0,,30.0,,
8.3,57.0,35.0,,30.0,,
8.33,57.0,35.0,,30.0,,
8.37,,35.0,,30.0,,
8.4,,35.0,,30.0,,
8.43,,35.0,,30.0,,
8.47,57.0,21.0,,30.0,,
8.5,57.0,35.0,,30.0,,
8.53,57.0,35.0,,30.0,,
8.57,57.0,35.0,,17.0,,
8.6,57.0,35.0,,17.0,,
8.63,57.0,35.0,,17.0,,
8.67,57.0,35.0,,17.0,,
8.7,57.0,35.0,,17.0,20.0,
8.73,57.0,35.0,,17.0,20.0,
8.77,57.0,35.0,,17.0,20.0,
8.8,57.0,35.0,,17.0,20.0,
8.83,57.0,35.0,,30.0,20.0,
8.87,57.0,,,30.0,20.0,
8.9,57.0,,,30.0,20.0,
8.93,57.0,,,30.0,20.0,
8.97,57.0,,,30.0,20.0,
9.0,57.0,,,30.0,20.0,
9.03,57.0,,,30.0,20.0,
9.07,57.0,,,30.0,20.0,
9.1,57.0,,,30.0,20.0,
9.13,57.0,,,30.0,20.0,
9.17,57.0,,,30.0,20.0,
9.2,57.0,,,17.0,20.0,
9.23,57.0,,,30.0,20.0,
9.27,57.0,,,30.0,20.0,
9.3,57.0,,,30.0,20.0,
9.33,57.0,,,30.0,20.0,
9.37,57.0,,,30.0,20.0,
9.4,57.0,,,30.0,20.0,
9.43,57.0,,,30.0,20.0,
9.47,57.0,,,30.0,20.0,
9.5,57.0,,,30.0,20.0,
9.53,57.0,,,30.0,20.0,
9.57,57.0,,,30.0,20.0,
9.6,57.0,,,30.0,20.0,
9.63,57.0,,,30.0,20.0,
9.67,57.0,,,17.0,20.0,
9.7,57.0,,,17.0,20.0,
9.73,57.0,,,17.0,20.0,
9.77,57.0,,,17.0,20.0,
9.8,57.0,,,17.0,20.0,
9.83,57.0,,,17.0,20.0,
9.87,57.0,,,17.0,20.0,
9.9,57.0,,,17.0,20.0,
9.93,57.0,,,17.0,20.0,
9.97,57.0,,,17.0,20.0,
