frame,ID,center_x,center_y,v_x,v_y,a_x,a_y,lane,preceding_rel_v_x,preceding_rel_v_y,right_preceding_rel_v_x,right_preceding_rel_v_y,left_preceding_rel_v_x,left_preceding_rel_v_y,following_rel_v_x,following_rel_v_y,right_following_rel_v_x,right_following_rel_v_y,left_following_rel_v_x,left_following_rel_v_y,preceding_distance,right_preceding_distance,left_preceding_distance,following_distance,right_following_distance,left_following_distance
1.13,12,144.59,471.0,-6.76,-1.2,43.33,0.0,3,,,6.76,1.2,,,6.76,1.2,6.76,1.2,,,,36.516221053115565,,132.4401800814239,142.48240382587596,
1.17,12,143.75,470.96,-7.78,-0.37,-34.0,27.67,3,,,7.78,0.37,,,7.78,0.37,7.78,0.37,,,,37.045168375916425,,133.14019115203342,143.17102011231182,
1.2,12,142.95,470.84,-7.41,-1.11,12.33,-24.67,3,,,7.41,1.11,,,7.41,1.11,7.41,1.11,,,,37.356451919313734,,134.03806101253477,144.03773290356938,
1.23,12,142.16,470.73,-7.31,-1.02,3.33,3.0,3,,,7.31,1.02,,,7.31,1.02,7.31,1.02,,,,37.650298803595184,,134.98447206993845,144.9556966800546,
1.27,12,141.4,470.67,-7.04,-0.56,9.0,15.33,3,,,7.04,0.56,,,7.04,0.56,7.04,0.56,,,,38.0724480431716,,135.73643431297288,145.69190265762882,
1.3,12,140.67,470.63,-6.76,-0.37,9.33,6.33,3,,,6.76,0.37,,,6.76,0.37,6.76,0.37,,,,38.48325609924399,,136.49607320359073,146.44071599114775,
1.33,12,139.61,470.39,-9.81,-2.22,-101.67,-61.67,3,,,9.81,2.22,,,9.81,2.22,9.81,2.22,,,,39.170123819053714,,137.27842802130274,147.16473252787162,
1.37,12,138.57,470.32,-9.63,-0.65,6.0,52.33,3,,,9.63,0.65,,,9.63,0.65,9.63,0.65,,,,39.75744961639264,,138.36930078597635,148.23779308934678,
1.4,12,137.71,470.32,-7.96,0.0,55.67,21.67,3,,,7.96,0.0,,,7.96,0.0,7.96,0.0,,,,40.46540868445542,,139.04490281919723,240.5085798885354,
1.43,12,136.86,470.2,-7.87,-1.11,3.0,-37.0,3,,,7.87,1.11,,,7.87,1.11,7.87,1.11,,,,40.948870558295006,,139.92289769726756,241.38307417878332,
1.47,12,136.11,470.11,-6.94,-0.83,31.0,9.33,3,,,6.94,0.83,,,6.94,0.83,6.94,0.83,,,,41.401542241805444,,140.69813680358385,150.5153653285936,
1.5,12,135.23,470.01,-8.15,-0.93,-40.33,-3.33,3,,,8.15,0.93,,,8.15,0.93,8.15,0.93,,,,41.98427920067223,,141.54405851182872,243.00000596707812,
1.53,12,134.23,469.9,-9.26,-1.02,-37.0,-3.0,3,,,9.26,1.02,,,9.26,1.02,9.26,1.02,,,,42.48505148872952,,142.72892138596157,244.1837869310737,
1.57,12,133.37,469.85,-7.96,-0.46,43.33,18.67,3,,,7.96,0.46,,,7.96,0.46,7.96,0.46,,,,43.094664402916536,,143.57912104480928,245.03518277994286,
1.6,12,132.64,469.83,-6.76,-0.19,40.0,9.0,3,,,6.76,0.19,,,6.76,0.19,6.76,0.19,,,,43.54737420327429,,144.39614953315063,245.85524196160634,
