0.00, 3, white car, 32.87, 424.97, 56.43, 436.10, 44.65, 430.54, 32.87, 430.54, 56.43, 430.54, 23.56, 11.13
0.00, 5, white car, 131.26, 440.76, 160.56, 453.80, 145.91, 447.28, 131.26, 447.28, 160.56, 447.28, 29.30, 13.05
0.00, 9, white car, 1207.64, 526.82, 1240.02, 540.52, 1223.83, 533.67, 1207.64, 533.67, 1240.02, 533.67, 32.38, 13.70
0.00, 23, white car, 1083.11, 522.42, 1115.31, 536.51, 1099.21, 529.46, 1083.11, 529.46, 1115.31, 529.46, 32.20, 14.09
0.00, 28, black car, 982.69, 518.47, 1011.17, 531.79, 996.93, 525.13, 982.69, 525.13, 1011.17, 525.13, 28.48, 13.32
0.00, 40, black car, 273.25, 454.49, 303.66, 467.66, 288.46, 461.07, 273.25, 461.07, 303.66, 461.07, 30.40, 13.17
0.03, 3, white car, 31.21, 424.83, 54.78, 435.96, 43.00, 430.39, 31.21, 430.39, 54.78, 430.39, 23.57, 11.13
0.03, 5, white car, 129.50, 440.58, 158.84, 453.65, 144.17, 447.12, 129.50, 447.12, 158.84, 447.12, 29.34, 13.07
0.03, 9, white car, 1204.84, 526.49, 1237.65, 540.37, 1221.24, 533.43, 1204.84, 533.43, 1237.65, 533.43, 32.81, 13.88
0.03, 23, white car, 1081.05, 522.40, 1113.39, 536.56, 1097.22, 529.48, 1081.05, 529.48, 1113.39, 529.48, 32.34, 14.15
0.03, 28, black car, 979.87, 518.37, 1008.44, 531.72, 994.15, 525.05, 979.87, 525.05, 1008.44, 525.05, 28.57, 13.35
0.03, 40, black car, 271.68, 454.46, 302.24, 467.70, 286.96, 461.08, 271.68, 461.08, 302.24, 461.08, 30.56, 13.24
0.07, 3, white car, 29.80, 424.55, 53.18, 435.58, 41.49, 430.07, 29.80, 430.07, 53.18, 430.07, 23.38, 11.03
0.07, 5, white car, 127.77, 440.22, 157.06, 453.26, 142.41, 446.74, 127.77, 446.74, 157.06, 446.74, 29.30, 13.04
0.07, 9, white car, 1202.68, 526.56, 1235.52, 540.44, 1219.10, 533.50, 1202.68, 533.50, 1235.52, 533.50, 32.84, 13.89
0.07, 23, white car, 1079.35, 522.47, 1111.63, 536.60, 1095.49, 529.53, 1079.35, 529.53, 1111.63, 529.53, 32.29, 14.13
