frame,leading,right_leading,left_leading,following,right_following,left_following
5.63,,36.0,14.0,,25.0,
5.67,,36.0,14.0,,25.0,
5.7,,36.0,14.0,,25.0,
5.73,,36.0,14.0,,25.0,
5.77,,36.0,14.0,,25.0,
5.8,,36.0,14.0,,25.0,
5.83,,36.0,14.0,,,
5.87,,36.0,14.0,,25.0,
5.9,,36.0,14.0,,25.0,
5.93,,36.0,14.0,,25.0,
5.97,,36.0,14.0,,25.0,
6.0,,36.0,14.0,,25.0,
6.03,,36.0,14.0,,25.0,
6.07,,36.0,14.0,,25.0,
6.1,,36.0,14.0,,25.0,
6.13,,36.0,14.0,,25.0,
6.17,,36.0,14.0,,25.0,
6.2,,36.0,14.0,,,
6.23,,36.0,14.0,,,
6.27,,36.0,14.0,,,
6.3,,36.0,14.0,,,
6.33,,36.0,14.0,,,
6.37,,36.0,14.0,,,
6.4,,36.0,14.0,,,
6.43,,36.0,14.0,,,
6.47,,36.0,14.0,,,
6.5,,36.0,14.0,,,
6.53,,36.0,14.0,,,
6.57,,36.0,14.0,,,
6.6,,36.0,14.0,,,
6.63,,36.0,14.0,,,
6.67,,36.0,14.0,,,
6.7,,36.0,14.0,,,
6.73,,36.0,14.0,,,
6.77,,36.0,14.0,,,
6.8,,36.0,,,,
6.83,,36.0,14.0,,,
6.87,,36.0,14.0,,,
6.9,,36.0,14.0,,,
6.93,,36.0,14.0,,,
6.97,,36.0,14.0,,,
7.0,,36.0,14.0,,,
7.03,,36.0,14.0,,,
7.07,,36.0,14.0,,,
7.1,,36.0,14.0,,,
7.13,,36.0,14.0,,,
7.17,,36.0,14.0,,,
7.2,,36.0,14.0,,,
7.23,,36.0,14.0,,,
7.27,,,14.0,,,
7.3,,36.0,14.0,,,
7.33,,36.0,14.0,,,
7.37,,36.0,14.0,,,
7.4,,36.0,14.0,,,
7.43,,36.0,14.0,,,
7.47,,36.0,14.0,,,
7.5,,36.0,14.0,,,
7.53,,36.0,14.0,,,
7.57,,36.0,14.0,,,
7.6,,36.0,14.0,,,
7.63,,36.0,14.0,,,
7.67,,36.0,14.0,,,
7.7,,36.0,14.0,,,
7.73,,36.0,14.0,,,
7.77,,36.0,14.0,,,
7.8,,36.0,14.0,,,
7.83,,36.0,14.0,,,
