X_train shape: (45567, 31)
Epoch 86: Train Loss: 0.04775737712599253, Train Accuracy: 0.9812
Epoch 87: Train Loss: 0.04712000701071569, Train Accuracy: 0.9818
Epoch 88: Train Loss: 0.04457601636483324, Train Accuracy: 0.9827
Epoch 89: Train Loss: 0.046105915572829205, Train Accuracy: 0.9821
Epoch 90: Train Loss: 0.04613194972715861, Train Accuracy: 0.9816
Epoch 91: Train Loss: 0.04610950695079349, Train Accuracy: 0.9820
Epoch 92: Train Loss: 0.04630503344452244, Train Accuracy: 0.9822
Epoch 93: Train Loss: 0.046488744459831775, Train Accuracy: 0.9818
Epoch 94: Train Loss: 0.04510061127500572, Train Accuracy: 0.9827
Epoch 95: Train Loss: 0.04544323620466253, Train Accuracy: 0.9815
Epoch 96: Train Loss: 0.04580016319976474, Train Accuracy: 0.9823
Epoch 97: Train Loss: 0.04511754941762611, Train Accuracy: 0.9824
Epoch 98: Train Loss: 0.044610074239387634, Train Accuracy: 0.9827
Epoch 99: Train Loss: 0.0436093857796744, Train Accuracy: 0.9828
Epoch 100: Train Loss: 0.04284722677568445, Train Accuracy: 0.9837
Accuracy: 0.9787, Precision: 0.9782, Recall: 0.9728, F1 Score: 0.9755
Confusion Matrix: TP: 4837, FP: 108, FN: 135, TN: 6312
