frame,ID,center_x,center_y,v_x,v_y,a_x,a_y,lane,preceding_rel_v_x,preceding_rel_v_y,right_preceding_rel_v_x,right_preceding_rel_v_y,left_preceding_rel_v_x,left_preceding_rel_v_y,following_rel_v_x,following_rel_v_y,right_following_rel_v_x,right_following_rel_v_y,left_following_rel_v_x,left_following_rel_v_y,preceding_distance,right_preceding_distance,left_preceding_distance,following_distance,right_following_distance,left_following_distance
0.0,41,1382.76,525.69,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,103.41023401965599,101.03304211989273,,,49.845862416051965,
0.03,41,1379.65,525.81,-28.8,1.11,0.0,0.0,2,28.8,-1.11,28.8,-1.11,,,,,28.8,-1.11,,,100.30057626953092,97.98704455181813,,,52.83152941189557,
0.07,41,1376.68,525.72,-27.5,-0.83,43.33,-64.67,2,27.5,0.83,27.5,0.83,,,,,27.5,0.83,,,97.0203220980017,94.74096157417867,,,55.32109362621095,
0.1,41,1374.29,525.81,-22.13,0.83,179.0,55.33,2,22.13,-0.83,22.13,-0.83,,,,,22.13,-0.83,,,94.94060880360948,92.7101639519638,,,57.90856586032826,
0.13,41,1371.57,525.81,-25.19,0.0,-102.0,-27.67,2,25.19,0.0,25.19,0.0,,,,,25.19,0.0,,,91.93062873710812,89.75116043818046,,,60.230192594744224,
0.17,41,1369.54,525.62,-18.8,-1.76,213.0,-58.67,2,18.8,1.76,18.8,1.76,,,,,18.8,1.76,,,90.15012479192703,87.96704439731971,,,62.35357968873946,
0.2,41,1367.37,525.55,-20.09,-0.65,-43.0,37.0,2,20.09,0.65,20.09,0.65,,,,,20.09,0.65,,,87.9700363760298,85.81340221667011,,,64.4326190682948,
0.23,41,1364.94,525.45,-22.5,-0.93,-80.33,-9.33,2,22.5,0.93,22.5,0.93,,,,,22.5,0.93,,,85.23000234659156,83.10619712151438,,,66.43317243666735,
0.27,41,1362.99,525.42,-18.06,-0.28,148.0,21.67,2,18.06,0.28,18.06,0.28,,,,,18.06,0.28,,,83.16001503126375,81.07167816198215,,,68.20545506042748,
0.3,41,1360.22,525.53,-25.65,1.02,-253.0,43.33,2,25.65,-1.02,25.65,-1.02,,,,,25.65,-1.02,,,80.14002246069073,78.13901522287067,,,70.68458459947253,
0.33,41,1358.24,525.55,-18.33,0.19,244.0,-27.67,2,18.33,-0.19,18.33,-0.19,,,,,18.33,-0.19,,,78.1600409416475,76.20879017541225,,,72.60195589651833,
0.37,41,1354.99,525.76,-30.09,1.94,-392.0,58.33,2,30.09,-1.94,30.09,-1.94,,,,,30.09,-1.94,,,75.51055687783,73.67079814960606,,,76.38583965631315,
0.4,41,1352.0,525.86,-27.69,0.93,80.0,-33.67,2,27.69,-0.93,27.69,-0.93,,,,,27.69,-0.93,,,72.56104809055608,70.82407076693625,,,79.38075963355337,
0.43,41,1348.81,525.82,-29.54,-0.37,-61.67,-43.33,2,29.54,0.37,29.54,0.37,,,,,29.54,0.37,,,69.30088383274772,67.65127788889133,,,82.39892839109011,
