frame,ID,car_type,x1,y1,x2,y2,center_x,center_y,front_x,front_y,back_x,back_y,width,height,lane
2.07,1, white car,236.65,472.9,264.82,486.25,250.73,479.57,236.65,479.57,264.82,479.57,28.16,13.35,3
2.1,1, white car,236.39,472.75,264.24,485.95,250.32,479.35,236.39,479.35,264.24,479.35,27.85,13.2,3
2.13,1, white car,235.87,472.59,263.74,485.8,249.8,479.19,235.87,479.19,263.74,479.19,27.87,13.21,3
2.17,1, white car,235.17,472.53,263.13,485.79,249.15,479.16,235.17,479.16,263.13,479.16,27.96,13.26,3
2.2,1, white car,234.34,472.4,262.6,485.8,248.47,479.1,234.34,479.1,262.6,479.1,28.25,13.4,3
2.23,1, white car,233.22,472.1,262.01,485.78,247.62,478.94,233.22,478.94,262.01,478.94,28.79,13.68,3
2.27,1, white car,232.39,472.0,261.15,485.69,246.77,478.85,232.39,478.85,261.15,478.85,28.76,13.69,3
2.3,1, white car,231.77,471.98,260.61,485.72,246.19,478.85,231.77,478.85,260.61,478.85,28.83,13.74,3
2.33,1, white car,231.03,471.82,260.0,485.62,245.51,478.72,231.03,478.72,260.0,478.72,28.97,13.81,3
2.37,1, white car,230.46,471.87,259.3,485.63,244.88,478.75,230.46,478.75,259.3,478.75,28.84,13.76,3
2.4,1, white car,229.88,471.72,258.89,485.57,244.39,478.65,229.88,478.65,258.89,478.65,29.01,13.86,3
2.43,1, white car,229.4,471.55,258.53,485.49,243.97,478.52,229.4,478.52,258.53,478.52,29.13,13.93,3
2.47,1, white car,229.05,471.37,258.03,485.26,243.54,478.31,229.05,478.31,258.03,478.31,28.97,13.89,3
2.5,1, white car,228.54,471.37,257.41,485.22,242.98,478.29,228.54,478.29,257.41,478.29,28.86,13.85,3
2.53,1, white car,228.22,471.44,256.9,485.22,242.56,478.33,228.22,478.33,256.9,478.33,28.68,13.77,3
2.57,1, white car,227.95,471.42,256.51,485.16,242.23,478.29,227.95,478.29,256.51,478.29,28.56,13.74,3
2.6,1, white car,227.48,471.52,255.79,485.16,241.63,478.34,227.48,478.34,255.79,478.34,28.31,13.64,3
2.63,1, white car,226.68,471.4,255.12,485.09,240.9,478.25,226.68,478.25,255.12,478.25,28.44,13.69,3
2.67,1, white car,225.57,471.3,254.1,485.01,239.83,478.15,225.57,478.15,254.1,478.15,28.54,13.71,3
2.7,1, white car,224.48,471.17,253.26,484.98,238.87,478.08,224.48,478.08,253.26,478.08,28.78,13.81,3
2.73,1, white car,223.86,470.88,252.89,484.84,238.38,477.86,223.86,477.86,252.89,477.86,29.04,13.95,3
2.77,1, white car,223.46,470.74,252.53,484.73,237.99,477.74,223.46,477.74,252.53,477.74,29.07,14.0,3
2.8,1, white car,223.59,470.68,252.42,484.62,238.01,477.65,223.59,477.65,252.42,477.65,28.83,13.93,3
2.83,1, white car,222.83,470.7,252.07,484.83,237.45,477.77,222.83,477.77,252.07,477.77,29.24,14.14,3
2.87,1, white car,222.41,470.36,251.79,484.63,237.1,477.49,222.41,477.49,251.79,477.49,29.38,14.26,3
