frame,ID,car_type,x1,y1,x2,y2,center_x,center_y,front_x,front_y,back_x,back_y,width,height,lane
0.0,1, white car,346.79,544.21,372.83,556.63,359.81,550.42,346.79,550.42,372.83,550.42,26.04,12.42,3
0.03,1, white car,346.79,544.19,372.87,556.64,359.83,550.41,346.79,550.41,372.87,550.41,26.08,12.44,3
0.07,1, white car,346.88,544.15,373.05,556.63,359.97,550.39,346.88,550.39,373.05,550.39,26.18,12.49,3
0.1,1, white car,346.91,544.14,373.09,556.62,360.0,550.38,346.91,550.38,373.09,550.38,26.18,12.49,3
0.13,1, white car,346.9,544.21,373.1,556.71,360.0,550.46,346.9,550.46,373.1,550.46,26.2,12.5,3
0.17,1, white car,346.92,544.17,373.05,556.63,359.99,550.4,346.92,550.4,373.05,550.4,26.13,12.46,3
0.2,1, white car,346.84,544.17,373.04,556.67,359.94,550.42,346.84,550.42,373.04,550.42,26.2,12.5,3
0.23,1, white car,346.86,544.13,373.08,556.65,359.97,550.39,346.86,550.39,373.08,550.39,26.23,12.52,3
0.27,1, white car,346.9,544.13,373.06,556.62,359.98,550.37,346.9,550.37,373.06,550.37,26.16,12.49,3
0.3,1, white car,346.9,544.18,372.95,556.62,359.93,550.4,346.9,550.4,372.95,550.4,26.04,12.44,3
0.33,1, white car,346.94,544.14,372.91,556.54,359.93,550.34,346.94,550.34,372.91,550.34,25.97,12.4,3
0.37,1, white car,346.92,544.1,372.91,556.52,359.91,550.31,346.92,550.31,372.91,550.31,25.99,12.41,3
0.4,1, white car,346.89,544.07,372.95,556.52,359.92,550.3,346.89,550.3,372.95,550.3,26.06,12.45,3
0.43,1, white car,346.88,544.03,373.01,556.52,359.94,550.28,346.88,550.28,373.01,550.28,26.13,12.49,3
0.47,1, white car,346.8,544.0,372.93,556.49,359.86,550.25,346.8,550.25,372.93,550.25,26.13,12.49,3
0.5,1, white car,346.75,543.96,372.95,556.49,359.85,550.22,346.75,550.22,372.95,550.22,26.2,12.52,3
0.53,1, white car,346.8,543.94,372.94,556.43,359.87,550.18,346.8,550.18,372.94,550.18,26.13,12.5,3
0.57,1, white car,346.78,543.93,372.92,556.43,359.85,550.18,346.78,550.18,372.92,550.18,26.15,12.51,3
0.6,1, white car,346.79,543.93,372.92,556.43,359.85,550.18,346.79,550.18,372.92,550.18,26.13,12.5,3
0.63,1, white car,346.76,543.88,372.91,556.4,359.83,550.14,346.76,550.14,372.91,550.14,26.16,12.52,3
0.67,1, white car,346.8,543.89,372.89,556.37,359.84,550.13,346.8,550.13,372.89,550.13,26.09,12.48,3
0.7,1, white car,346.87,543.87,372.91,556.32,359.89,550.1,346.87,550.1,372.91,550.1,26.04,12.45,3
0.73,1, white car,346.85,543.87,372.85,556.29,359.85,550.08,346.85,550.08,372.85,550.08,26.0,12.42,3
0.77,1, white car,346.92,543.95,372.84,556.31,359.88,550.13,346.92,550.13,372.84,550.13,25.92,12.37,3
0.8,1, white car,346.91,543.91,372.87,556.29,359.89,550.1,346.91,550.1,372.87,550.1,25.96,12.38,3
0.83,1, white car,346.93,543.94,372.91,556.32,359.92,550.13,346.93,550.13,372.91,550.13,25.98,12.38,3
0.87,1, white car,346.89,543.99,372.89,556.4,359.89,550.19,346.89,550.19,372.89,550.19,26.0,12.4,3
0.9,1, white car,346.82,543.92,372.95,556.39,359.89,550.15,346.82,550.15,372.95,550.15,26.12,12.47,3
0.93,1, white car,346.86,543.96,372.93,556.41,359.89,550.18,346.86,550.18,372.93,550.18,26.08,12.45,3
0.97,1, white car,346.76,543.89,373.04,556.44,359.9,550.17,346.76,550.17,373.04,550.17,26.28,12.56,3
1.0,1, white car,346.74,543.85,373.08,556.44,359.91,550.14,346.74,550.14,373.08,550.14,26.34,12.59,3
1.03,1, white car,346.7,543.84,373.1,556.47,359.9,550.16,346.7,550.16,373.1,550.16,26.4,12.63,3
1.07,1, white car,346.71,543.84,373.11,556.48,359.91,550.16,346.71,550.16,373.11,550.16,26.4,12.65,3
1.1,1, white car,346.69,543.81,373.12,556.48,359.9,550.14,346.69,550.14,373.12,550.14,26.43,12.67,3
1.13,1, white car,346.66,543.76,373.1,556.46,359.88,550.11,346.66,550.11,373.1,550.11,26.44,12.7,3
1.17,1, white car,346.65,543.74,373.1,556.46,359.87,550.1,346.65,550.1,373.1,550.1,26.45,12.72,3
1.2,1, white car,346.62,543.7,373.04,556.42,359.83,550.06,346.62,550.06,373.04,550.06,26.42,12.72,3
1.23,1, white car,346.74,543.73,372.97,556.38,359.85,550.05,346.74,550.05,372.97,550.05,26.23,12.64,3
1.27,1, white car,346.82,543.73,373.02,556.37,359.92,550.05,346.82,550.05,373.02,550.05,26.2,12.64,3
