frame,ID,car_type,x1,y1,x2,y2,center_x,center_y,front_x,front_y,back_x,back_y,width,height,lane
5.07,3, black car,1275.1,518.62,1303.53,530.91,1289.32,524.76,1275.1,524.76,1303.53,524.76,28.43,12.29,1
5.1,3, black car,1272.15,518.39,1300.77,530.76,1286.46,524.58,1272.15,524.58,1300.77,524.58,28.62,12.37,1
5.13,3, black car,1268.86,518.13,1297.77,530.63,1283.31,524.38,1268.86,524.38,1297.77,524.38,28.91,12.49,1
5.17,3, black car,1266.62,518.28,1294.99,530.56,1280.81,524.42,1266.62,524.42,1294.99,524.42,28.37,12.28,1
5.2,3, black car,1264.01,518.05,1292.45,530.33,1278.23,524.19,1264.01,524.19,1292.45,524.19,28.44,12.29,1
5.23,3, black car,1261.71,518.29,1289.76,530.4,1275.74,524.34,1261.71,524.34,1289.76,524.34,28.05,12.11,1
5.27,3, black car,1258.96,518.0,1287.37,530.24,1273.16,524.12,1258.96,524.12,1287.37,524.12,28.41,12.24,1
5.3,3, black car,1256.0,517.7,1285.24,530.36,1270.62,524.03,1256.0,524.03,1285.24,524.03,29.23,12.66,1
5.33,3, black car,1252.92,517.35,1283.18,530.51,1268.05,523.93,1252.92,523.93,1283.18,523.93,30.26,13.16,1
5.37,3, black car,1250.34,517.27,1280.52,530.45,1265.43,523.86,1250.34,523.86,1280.52,523.86,30.18,13.18,1
5.4,3, black car,1247.46,517.03,1278.13,530.51,1262.8,523.77,1247.46,523.77,1278.13,523.77,30.67,13.48,1
5.43,3, black car,1244.11,516.81,1275.05,530.52,1259.58,523.67,1244.11,523.67,1275.05,523.67,30.94,13.71,1
5.47,3, black car,1241.4,516.6,1272.11,530.34,1256.75,523.47,1241.4,523.47,1272.11,523.47,30.7,13.74,1
5.5,3, black car,1238.0,516.5,1268.59,530.21,1253.29,523.35,1238.0,523.35,1268.59,523.35,30.59,13.7,1
5.53,3, black car,1234.59,516.38,1265.67,530.37,1250.13,523.38,1234.59,523.38,1265.67,523.38,31.07,13.99,1
5.57,3, black car,1232.12,516.58,1262.04,530.06,1247.08,523.32,1232.12,523.32,1262.04,523.32,29.91,13.48,1
5.6,3, black car,1229.55,516.47,1259.55,529.99,1244.55,523.23,1229.55,523.23,1259.55,523.23,30.0,13.52,1
5.63,3, black car,1226.87,516.57,1256.41,529.89,1241.64,523.23,1226.87,523.23,1256.41,523.23,29.54,13.32,1
5.67,3, black car,1224.31,516.68,1253.75,529.96,1239.03,523.32,1224.31,523.32,1253.75,523.32,29.44,13.28,1
5.7,3, black car,1221.84,516.55,1251.31,529.91,1236.57,523.23,1221.84,523.23,1251.31,523.23,29.48,13.35,1
5.73,3, black car,1218.86,516.65,1248.22,530.04,1233.54,523.34,1218.86,523.34,1248.22,523.34,29.37,13.4,1
5.77,3, black car,1217.19,516.79,1245.76,529.83,1231.48,523.31,1217.19,523.31,1245.76,523.31,28.58,13.04,1
5.8,3, black car,1214.02,516.49,1243.0,529.74,1228.51,523.12,1214.02,523.12,1243.0,523.12,28.98,13.25,1
5.83,3, black car,1210.28,515.95,1239.6,529.34,1224.94,522.64,1210.28,522.64,1239.6,522.64,29.32,13.38,1
5.87,3, black car,1207.15,515.85,1236.68,529.3,1221.92,522.58,1207.15,522.58,1236.68,522.58,29.53,13.46,1
5.9,3, black car,1204.27,515.7,1234.11,529.31,1219.19,522.5,1204.27,522.5,1234.11,522.5,29.84,13.61,1
5.93,3, black car,1201.78,515.41,1232.03,529.24,1216.91,522.32,1201.78,522.32,1232.03,522.32,30.26,13.83,1
5.97,3, black car,1198.93,515.19,1229.78,529.29,1214.35,522.24,1198.93,522.24,1229.78,522.24,30.85,14.1,1
6.0,3, black car,1196.25,515.04,1227.02,529.1,1211.64,522.07,1196.25,522.07,1227.02,522.07,30.77,14.06,1
6.03,3, black car,1193.55,515.27,1224.4,529.37,1208.98,522.32,1193.55,522.32,1224.4,522.32,30.85,14.1,1
6.07,3, black car,1191.53,515.1,1222.11,529.13,1206.82,522.11,1191.53,522.11,1222.11,522.11,30.58,14.04,1
6.1,3, black car,1188.34,515.01,1218.62,529.01,1203.48,522.01,1188.34,522.01,1218.62,522.01,30.28,14.01,1
6.13,3, black car,1184.99,514.8,1215.76,529.15,1200.38,521.98,1184.99,521.98,1215.76,521.98,30.77,14.35,1
6.17,3, black car,1181.91,514.55,1212.78,529.03,1197.34,521.79,1181.91,521.79,1212.78,521.79,30.88,14.48,1
6.2,3, black car,1178.71,514.54,1210.1,529.24,1194.41,521.89,1178.71,521.89,1210.1,521.89,31.39,14.7,1
6.23,3, black car,1177.07,514.52,1208.65,529.3,1192.86,521.91,1177.07,521.91,1208.65,521.91,31.58,14.78,1
6.27,3, black car,1174.95,514.78,1205.9,529.29,1190.42,522.04,1174.95,522.04,1205.9,522.04,30.95,14.5,1
6.3,3, black car,1171.81,514.92,1202.73,529.48,1187.27,522.2,1171.81,522.2,1202.73,522.2,30.92,14.55,1
6.33,3, black car,1169.8,515.16,1200.16,529.51,1184.98,522.33,1169.8,522.33,1200.16,522.33,30.36,14.35,1
6.37,3, black car,1166.67,515.52,1196.72,529.73,1181.7,522.63,1166.67,522.63,1196.72,522.63,30.05,14.22,1
6.4,3, black car,1163.97,515.33,1194.1,529.63,1179.04,522.48,1163.97,522.48,1194.1,522.48,30.14,14.3,1
6.43,3, black car,1160.79,515.09,1191.42,529.66,1176.11,522.38,1160.79,522.38,1191.42,522.38,30.62,14.57,1
6.47,3, black car,1158.78,514.87,1189.58,529.51,1174.18,522.19,1158.78,522.19,1189.58,522.19,30.8,14.64,1
6.5,3, black car,1155.51,514.68,1185.5,528.97,1170.5,521.83,1155.51,521.83,1185.5,521.83,29.99,14.28,1
6.53,3, black car,1152.61,514.79,1182.28,528.91,1167.44,521.85,1152.61,521.85,1182.28,521.85,29.67,14.12,1
6.57,3, black car,1149.88,514.37,1179.77,528.6,1164.83,521.48,1149.88,521.48,1179.77,521.48,29.89,14.23,1
6.6,3, black car,1147.18,514.56,1176.56,528.57,1161.87,521.57,1147.18,521.57,1176.56,521.57,29.38,14.0,1
6.63,3, black car,1144.79,514.39,1173.94,528.31,1159.36,521.35,1144.79,521.35,1173.94,521.35,29.15,13.91,1
6.67,3, black car,1141.94,514.36,1171.19,528.3,1156.56,521.33,1141.94,521.33,1171.19,521.33,29.25,13.94,1
6.7,3, black car,1139.47,514.38,1168.67,528.31,1154.07,521.34,1139.47,521.34,1168.67,521.34,29.21,13.93,1
6.73,3, black car,1136.41,514.23,1165.96,528.33,1151.19,521.28,1136.41,521.28,1165.96,521.28,29.55,14.1,1
6.77,3, black car,1132.96,514.08,1162.86,528.4,1147.91,521.24,1132.96,521.24,1162.86,521.24,29.9,14.32,1
6.8,3, black car,1130.19,514.0,1160.15,528.42,1145.17,521.21,1130.19,521.21,1160.15,521.21,29.96,14.42,1
6.83,3, black car,1127.2,513.89,1157.18,528.31,1142.19,521.1,1127.2,521.1,1157.18,521.1,29.97,14.43,1
6.87,3, black car,1124.64,513.72,1154.36,528.06,1139.5,520.89,1124.64,520.89,1154.36,520.89,29.72,14.34,1
6.9,3, black car,1122.05,513.53,1151.52,527.76,1136.78,520.65,1122.05,520.65,1151.52,520.65,29.47,14.23,1
6.93,3, black car,1119.29,513.3,1148.86,527.61,1134.08,520.45,1119.29,520.45,1148.86,520.45,29.57,14.31,1
6.97,3, black car,1116.8,513.34,1145.85,527.4,1131.32,520.37,1116.8,520.37,1145.85,520.37,29.05,14.06,1
7.0,3, black car,1114.15,513.54,1142.53,527.24,1128.34,520.39,1114.15,520.39,1142.53,520.39,28.38,13.7,1
7.03,3, black car,1111.02,513.42,1139.87,527.34,1125.45,520.38,1111.02,520.38,1139.87,520.38,28.86,13.92,1
7.07,3, black car,1109.13,513.4,1137.77,527.19,1123.45,520.3,1109.13,520.3,1137.77,520.3,28.64,13.79,1
