frame,ID,center_x,center_y,v_x,v_y,a_x,a_y,lane,preceding_rel_v_x,preceding_rel_v_y,right_preceding_rel_v_x,right_preceding_rel_v_y,left_preceding_rel_v_x,left_preceding_rel_v_y,following_rel_v_x,following_rel_v_y,right_following_rel_v_x,right_following_rel_v_y,left_following_rel_v_x,left_following_rel_v_y,preceding_distance,right_preceding_distance,left_preceding_distance,following_distance,right_following_distance,left_following_distance
0.0,19,1293.16,548.22,0.0,0.0,0.0,0.0,3,0.0,0.0,,,,,0.0,0.0,,,,,42.60143776916469,,,33.25757958721591,,
0.03,19,1293.15,548.22,-0.09,0.0,0.0,0.0,3,0.09,0.0,,,,,0.09,0.0,,,,,42.671435410588266,,,33.337561398518794,,
0.07,19,1293.14,548.18,-0.09,-0.37,0.0,-12.33,3,0.09,0.37,,,,,0.09,0.37,0.09,0.37,,,42.62178433618201,,,33.30673955823374,133.88838635221518,
0.1,19,1293.0,548.38,-1.3,1.85,-40.33,74.0,3,1.3,-1.85,,,,,1.3,-1.85,1.3,-1.85,,,42.70042271453532,,,33.67124143835516,134.2846320321131,
0.13,19,1293.06,548.42,0.56,0.37,62.0,-49.33,3,-0.56,-0.37,,,,,-0.56,-0.37,-0.56,-0.37,,,42.82026272689128,,,33.6922914032276,134.31328303634012,
0.17,19,1293.08,548.42,0.19,0.0,-12.33,-12.33,3,-0.19,0.0,,,,,-0.19,0.0,-0.19,0.0,,,42.840262604237296,,,33.6722987038308,134.29381817492572,
0.2,19,1293.1,548.46,0.19,0.37,0.0,12.33,3,-0.19,-0.37,,,,,-0.19,-0.37,-0.19,-0.37,,,42.810141321887684,,,33.58343937121407,134.21543167609317,
0.23,19,1293.24,548.35,1.3,-1.02,37.0,-46.33,3,-1.3,1.02,,,,,-1.3,1.02,-1.3,1.02,,,42.86056462530575,,,33.35058020484816,133.96629613451302,
0.27,19,1293.27,548.4,0.28,0.46,-34.0,49.33,3,-0.28,-0.46,,,,,-0.28,-0.46,-0.28,-0.46,,,42.95033643640063,,,33.39186278122272,134.0167228371147,
0.3,19,1293.27,548.42,0.0,0.19,-9.33,-9.0,3,0.0,-0.19,,,,,0.0,-0.19,0.0,-0.19,,,43.05026132324862,,,33.49236480154844,134.11864150818107,
0.33,19,1293.26,548.45,-0.09,0.28,-3.0,3.0,3,0.09,-0.28,,,,,0.09,-0.28,0.09,-0.28,,,43.03016732479666,,,33.49319333834863,134.12554752917134,
0.37,19,1293.33,548.46,0.65,0.09,24.67,-6.33,3,-0.65,-0.09,,,,,-0.65,-0.09,-0.65,-0.09,,,42.99014073017208,,,33.323544229268464,133.9624294345248,
0.4,19,1293.34,548.47,0.09,0.09,-18.67,0.0,3,-0.09,-0.09,,,,,-0.09,-0.09,-0.09,-0.09,,,42.96011638717944,,,33.26385575966803,133.9063560851388,
0.43,19,1293.37,548.46,0.28,-0.09,6.33,-6.0,3,-0.28,0.09,,,,,-0.28,0.09,-0.28,0.09,,,42.91014099254402,,,33.16360957435131,133.80674908239874,
0.47,19,1293.38,548.59,0.09,1.2,-6.33,43.0,3,-0.09,-1.2,,,,,-0.09,-1.2,-0.09,-1.2,,,42.97000465440983,,,33.20756690876349,133.87574014734713,
0.5,19,1293.41,548.5,0.28,-0.83,6.33,-67.67,3,-0.28,0.83,,,,,-0.28,0.83,-0.28,0.83,,,42.90005710951919,,,33.05482869415598,133.70897501663822,
0.53,19,1293.47,548.46,0.56,-0.37,9.33,15.33,3,-0.56,0.37,,,,,-0.56,0.37,-0.56,0.37,,,42.8301412558961,,,32.863733810996116,133.51487595021024,
0.57,19,1293.5,548.49,0.28,0.28,-9.33,21.67,3,-0.28,-0.28,,,,,-0.28,-0.28,-0.28,-0.28,,,42.7800748012436,,,32.76465931457246,133.42454421882053,
0.6,19,1293.5,548.47,0.0,-0.19,-9.33,-15.67,3,0.0,0.19,,,,,0.0,0.19,0.0,0.19,,,42.6901171232875,,,32.66411027412206,133.3226319872212,
0.63,19,1293.48,548.51,-0.19,0.37,-6.33,18.67,3,0.19,-0.37,,,,,0.19,-0.37,0.19,-0.37,,,42.640042213862884,,,32.67530566039139,133.341638283021,
0.67,19,1293.47,548.55,-0.09,0.37,3.33,0.0,3,0.09,-0.37,,,,,0.09,-0.37,0.09,-0.37,,,42.70000468384054,,,32.746518898960865,133.41901288796885,
0.7,19,1293.46,548.56,-0.09,0.09,0.0,-9.33,3,0.09,-0.09,,,,,0.09,-0.09,0.09,-0.09,,,42.70000117096021,,,32.766827737820456,133.44078874167369,
0.73,19,1293.46,548.65,0.0,0.83,3.0,24.67,3,0.0,-0.83,,,,,0.0,-0.83,0.0,-0.83,,,42.71007492383973,,,32.779829163679295,133.47145050534212,
0.77,19,1293.56,548.59,0.93,-0.56,31.0,-46.33,3,-0.93,0.56,,,,,-0.93,0.56,-0.93,0.56,,,42.670004687133634,,,32.53792863720736,133.22407627752574,
0.8,19,1293.49,548.56,-0.65,-0.28,-52.67,9.33,3,0.65,0.28,,,,,0.65,0.28,0.65,0.28,,,42.47000117730163,,,32.48697277371349,133.16846511092632,
0.83,19,1293.45,548.55,-0.37,-0.09,9.33,6.33,3,0.37,0.09,,,,,0.37,0.09,0.37,0.09,,,42.49000470698963,,,32.586600006751404,133.26339407354158,
0.87,19,1293.5,548.47,0.46,-0.74,27.67,-21.67,3,-0.46,0.74,,,,,-0.46,0.74,-0.46,0.74,,,42.54011753627388,,,32.524171011726025,133.18645051205468,
0.9,19,1293.48,548.5,-0.19,0.28,-21.67,34.0,3,0.19,-0.28,,,,,0.19,-0.28,0.19,-0.28,,,42.51005763345892,,,32.53506569841221,133.20314260557063,
0.93,19,1293.51,548.49,0.28,-0.09,15.67,-12.33,3,-0.28,0.09,,,,,-0.28,0.09,-0.28,0.09,,,42.67007499407525,,,32.634717709825644,133.2980888835246,
0.97,19,1293.5,548.48,-0.09,-0.09,-12.33,0.0,3,0.09,0.09,,,,,0.09,0.09,0.09,0.09,,,42.710094825462555,,,32.704388084781584,133.3638605470013,
1.0,19,1293.49,548.47,-0.09,-0.09,0.0,0.0,3,0.09,0.09,,,,,0.09,0.09,0.09,0.09,,,42.700117095858225,,,32.7140887080781,133.37127014466049,
1.03,19,1293.53,548.38,0.37,-0.83,15.33,-24.67,3,-0.37,0.83,,,,,-0.37,0.83,-0.37,0.83,,,42.87042103828711,,,32.80153959801274,133.4380054557171,
1.07,19,1293.52,548.43,-0.09,0.46,-15.33,43.0,3,0.09,-0.46,,,,,0.09,-0.46,0.09,-0.46,,,43.01022785338389,,,32.94284899640594,133.58576945168974,
1.1,19,1293.51,548.44,-0.09,0.09,0.0,-12.33,3,0.09,-0.09,,,,,0.09,-0.09,0.09,-0.09,,,42.99019655688958,,,32.94312978452418,133.58808068087518,
1.13,19,1293.66,548.28,1.39,-1.48,49.33,-52.33,3,-1.39,1.48,,,,,-1.39,1.48,-1.39,1.48,,,42.92097971854797,,,32.579100662848425,133.20086523743018,
1.17,19,1293.7,548.32,0.37,0.37,-34.0,61.67,3,-0.37,-0.37,,,,,-0.37,-0.37,-0.37,-0.37,,,42.850729282008864,,,32.440114056519654,133.07388361357766,
1.2,19,1293.75,548.21,0.46,-1.02,3.0,-46.33,3,-0.46,1.02,,,,,-0.46,1.02,-0.46,1.02,,,42.851512225358064,,,32.31758190211655,132.93173059883048,
1.23,19,1293.75,548.18,0.0,-0.28,-15.33,24.67,3,0.0,0.28,,,,,0.0,0.28,0.0,0.28,,,42.881773517428236,,,32.35693743233449,132.96374129814498,
1.27,19,1293.61,548.38,-1.3,1.85,-43.33,71.0,3,1.3,-1.85,,,,,1.3,-1.85,1.3,-1.85,,,42.84042133312898,,,32.61160682947114,133.25315005657475,
1.3,19,1293.57,548.28,-0.37,-0.93,31.0,-92.67,3,0.37,0.93,,,,,0.37,0.93,0.37,0.93,,,42.760983384389085,,,32.59909507946516,133.22032615183028,
1.33,19,1293.46,548.34,-1.02,0.56,-21.67,49.67,3,1.02,-0.56,,,,,1.02,-0.56,1.02,-0.56,,,42.73061899855888,,,32.79050624799804,133.4190421191817,
1.37,19,1293.41,548.41,-0.46,0.65,18.67,3.0,3,0.46,-0.65,,,,,0.46,-0.65,0.46,-0.65,,,42.780299204189745,,,32.95229278821132,133.5908788054035,
1.4,19,1293.36,548.44,-0.46,0.28,0.0,-12.33,3,0.46,-0.28,,,,,0.46,-0.28,0.46,-0.28,,,42.7901974755901,,,33.053086088896414,133.69510387445004,
1.43,19,1293.41,548.58,0.46,1.3,30.67,34.0,3,-0.46,-1.3,,,,,-0.46,-1.3,-0.46,-1.3,,,42.860001166589,,,33.01734241273819,133.68860086035755,
1.47,19,1293.57,548.55,1.48,-0.28,34.0,-52.67,3,-1.48,0.28,,,,,-1.48,0.28,-1.48,0.28,,,42.94000465766165,,,32.79649371502994,133.4676458921786,
1.5,19,1293.71,548.54,1.3,-0.09,-6.0,6.33,3,-1.3,0.09,,,,,-1.3,0.09,-1.3,0.09,,,42.990010467549325,,,32.556297393899044,133.2318910771741,
1.53,19,1293.71,548.6,0.0,0.56,-43.33,21.67,3,0.0,-0.56,0.0,-0.56,,,0.0,-0.56,,,,,42.840010504200535,132.39994599696766,,32.40833534756153,,
1.57,19,1293.74,548.64,0.28,0.37,9.33,-6.33,3,-0.28,-0.37,-0.28,-0.37,,,-0.28,-0.37,,,,,42.870057149483834,132.38016769894182,,32.3897175041711,,
1.6,19,1293.74,548.68,0.0,0.37,-9.33,0.0,3,0.0,-0.37,0.0,-0.37,,,0.0,-0.37,,,,,42.800141354906714,132.45760416072758,,32.30119657226336,,
1.63,19,1293.66,548.71,-0.74,0.28,-24.67,-3.0,3,0.74,-0.28,0.74,-0.28,,,0.74,-0.28,,,,,42.77022913195577,132.4938145726056,,32.442200911775465,,
1.67,19,1293.61,548.7,-0.46,-0.09,9.33,-12.33,3,0.46,0.09,0.46,0.09,,,0.46,0.09,,,,,42.70019789181315,132.5595039972615,,32.4818056764091,,
1.7,19,1293.6,548.74,-0.09,0.37,12.33,15.33,3,0.09,-0.37,0.09,-0.37,,,0.09,-0.37,,,,,42.62033904135454,132.64666335795997,,32.41334601672599,,
1.73,19,1293.66,548.74,0.56,0.0,21.67,-12.33,3,-0.56,0.0,-0.56,0.0,,,-0.56,0.0,,,,,42.64033888233076,132.6272238267844,,32.32341102049738,,
1.77,19,1293.71,548.78,0.46,0.37,-3.33,12.33,3,-0.46,-0.37,-0.46,-0.37,,,-0.46,-0.37,,,,,42.700516390320196,132.57831987168936,,32.274996514329786,,
1.8,19,1293.87,548.81,1.48,0.28,34.0,-3.0,3,-1.48,-0.28,-1.48,-0.28,,,-1.48,-0.28,,,,,42.95067054191359,132.3424440608529,,32.19625599351584,,
1.83,19,1293.94,548.74,0.65,-0.65,-27.67,-31.0,3,-0.65,0.65,-0.65,0.65,,,-0.65,0.65,,,,,42.95033643640063,132.3259324546779,,32.07359349994964,,
1.87,19,1293.92,548.72,-0.19,-0.19,-28.0,15.33,3,0.19,0.19,0.19,0.19,,,0.19,0.19,,,,,42.94026199268007,132.33094007071807,,32.10281140336482,,
1.9,19,1293.86,548.65,-0.56,-0.65,-12.33,-15.33,3,0.56,0.65,0.56,0.65,,,0.56,0.65,,,,,42.89007460940128,132.36307528914537,,32.16021144209109,,
1.93,19,1293.78,548.64,-0.74,-0.09,-6.0,18.67,3,0.74,0.09,0.74,0.09,,,0.74,0.09,,,,,42.66005743080999,132.5843071407773,,32.07990804226239,,
1.97,19,1293.71,548.71,-0.65,0.65,3.0,24.67,3,0.65,-0.65,0.65,-0.65,,,0.65,-0.65,,,,,42.5302304249577,132.72709934297518,,32.112429057921005,,
2.0,19,1293.74,548.63,0.28,-0.74,31.0,-46.33,3,-0.28,0.74,-0.28,0.74,,,-0.28,0.74,,,,,42.48004237286024,132.75695763311234,,31.979618509294358,,
2.03,19,1293.73,548.61,-0.09,-0.19,-12.33,18.33,3,0.09,0.19,0.09,0.19,,,0.09,0.19,,,,,42.420018859024644,132.81061478662002,,31.94894207951187,,
2.07,19,1293.7,548.67,-0.28,0.56,-6.33,25.0,3,0.28,-0.56,0.28,-0.56,,,0.28,-0.56,,,,,42.37011800786033,132.87326480522694,,31.951064145032852,,
2.1,19,1293.79,548.6,0.83,-0.65,37.0,-40.33,3,-0.83,0.65,-0.83,0.65,,,-0.83,0.65,,,,,42.38001061821492,132.84716971015968,,31.778698840575576,,
2.13,19,1293.78,548.69,-0.09,0.83,-30.67,49.33,3,0.09,-0.83,0.09,-0.83,,,0.09,-0.83,,,,,42.46016957102271,132.79045522928214,,31.901830668474297,,
2.17,19,1293.77,548.62,-0.09,-0.65,0.0,-49.33,3,0.09,0.65,0.09,0.65,,,0.09,0.65,,,,,42.29002955780472,132.93935158560086,,31.739415558576404,,
2.2,19,1293.83,548.57,0.56,-0.46,21.67,6.33,3,-0.56,0.46,-0.56,0.46,,,-0.56,0.46,,,,,42.11000000000013,133.10271860484278,,31.437875246269503,,
2.23,19,1293.85,548.65,0.19,0.74,-12.33,40.0,3,-0.19,-0.74,-0.19,-0.74,,,-0.19,-0.74,,,,,41.92007633580843,133.30613264212553,,31.220819976419627,,
2.27,19,1293.82,548.61,-0.28,-0.37,-15.67,-37.0,3,0.28,0.37,0.28,0.37,,,0.28,0.37,,,,,41.89001909763241,133.32598433913762,,31.249366393576704,,
2.3,19,1293.75,548.63,-0.65,0.19,-12.33,18.67,3,0.65,-0.19,0.65,-0.19,,,0.65,-0.19,,,,,42.01004284691935,133.21395009532594,,31.49991746020934,,
2.33,19,1293.73,548.67,-0.19,0.37,15.33,6.0,3,0.19,-0.37,0.19,-0.37,,,0.19,-0.37,,,,,42.11011873647485,133.12605192072644,,31.631277242628187,,
2.37,19,1293.77,548.69,0.37,0.19,18.67,-6.0,3,-0.37,-0.19,-0.37,-0.19,,,-0.37,-0.19,,,,,42.24017045420154,133.00433451583447,,31.701968393145627,,
2.4,19,1293.8,548.74,0.28,0.46,-3.0,9.0,3,-0.28,-0.46,-0.28,-0.46,,,-0.28,-0.46,,,,,42.18034257803041,133.07437506898154,,31.573967124832627,,
2.43,19,1293.82,548.75,0.19,0.09,-3.0,-12.33,3,-0.19,-0.09,-0.19,-0.09,,,-0.19,-0.09,,,,,42.13038452233743,133.1253262906798,,31.474435658165547,,
2.47,19,1293.81,548.77,-0.09,0.19,-9.33,3.33,3,0.09,-0.19,0.09,-0.19,,,0.09,-0.19,,,,,42.28047303425066,132.98419830942322,,31.655086479111173,,
2.5,19,1293.8,548.82,-0.09,0.46,0.0,9.0,3,0.09,-0.46,0.09,-0.46,,,0.09,-0.46,,,,,42.30073876423432,132.97650205957444,,31.697081884615258,,
2.53,19,1293.82,548.79,0.19,-0.28,9.33,-24.67,3,-0.19,0.28,-0.19,0.28,,,-0.19,0.28,,,,,42.39057088551661,132.88197206543845,,31.755807342909755,,
2.57,19,1293.82,548.78,0.0,-0.09,-6.33,6.33,3,0.0,0.09,0.0,0.09,,,0.0,0.09,,,,,42.37052041219237,132.89906244966502,,31.72542986312404,,
2.6,19,1293.79,548.82,-0.28,0.37,-9.33,15.33,3,0.28,-0.37,,,,,0.28,-0.37,,,,,42.42073667441439,,,31.83696279483976,,
2.63,19,1293.83,548.79,0.37,-0.28,21.67,-21.67,3,-0.37,0.28,,,,,-0.37,0.28,,,,,42.49056954195837,,,31.825750580308576,,
