frame,leading,right_leading,left_leading,following,right_following,left_following
0.0,10.0,,26.0,,,15
0.03,10.0,,26.0,,,15
0.07,10.0,,26.0,,,15
0.1,10.0,,26.0,,,15
0.13,10.0,,26.0,,,15
0.17,10.0,,26.0,,,15
0.2,10.0,,26.0,,,15
0.23,10.0,,26.0,,,15
0.27,10.0,,26.0,,,15
0.3,10.0,,26.0,,,15
0.33,10.0,,26.0,,,15
0.37,10.0,,26.0,,,15
0.4,10.0,,26.0,,,15
0.43,10.0,,26.0,,,15
0.47,10.0,,26.0,,,15
0.5,10.0,,26.0,,,15
0.53,10.0,,26.0,,,15
0.57,10.0,,26.0,,,15
0.6,10.0,,26.0,,,15
0.63,10.0,,26.0,,,15
0.67,10.0,,26.0,,,15
0.7,10.0,,26.0,,,15
0.73,10.0,,26.0,,,15
0.77,10.0,,26.0,,,15
0.8,10.0,,26.0,,,15
0.83,10.0,,26.0,,,15
0.87,10.0,,26.0,,,15
0.9,10.0,,26.0,,,15
0.93,10.0,,26.0,,,15
0.97,10.0,,26.0,,,15
1.0,10.0,,26.0,,,15
1.03,10.0,,26.0,,,15
1.07,10.0,,26.0,,,15
1.1,10.0,,41.0,,,15
1.13,10.0,,41.0,,,15
1.17,10.0,,41.0,,,15
1.2,10.0,,41.0,,,15
1.23,10.0,,41.0,,,15
1.27,10.0,,26.0,,,15
1.3,10.0,,26.0,,,15
1.33,10.0,,26.0,,,15
1.37,10.0,,26.0,,,15
1.4,10.0,,26.0,,,15
1.43,10.0,,26.0,,,15
1.47,10.0,,26.0,,,15
1.5,10.0,,41.0,,,15
1.53,10.0,,41.0,,,15
1.57,10.0,,26.0,,,15
1.6,10.0,,26.0,,,15
1.63,10.0,,26.0,,,15
1.67,10.0,,26.0,,,15
1.7,10.0,,26.0,,,15
1.73,10.0,,26.0,,,15
1.77,10.0,,,,,26
1.8,10.0,,41.0,,,26
1.83,10.0,,41.0,,,26
1.87,10.0,,,,,26
1.9,10.0,,,,,26
1.93,10.0,,,,,26
1.97,10.0,,41.0,,,26
2.0,10.0,,41.0,,,26
2.03,10.0,,41.0,,,26
2.07,10.0,,41.0,,,26
2.1,10.0,,41.0,,,26
2.13,10.0,,41.0,,,26
2.17,10.0,,41.0,,,26
2.2,10.0,,41.0,,,26
2.23,10.0,,41.0,,,26
2.27,10.0,,,,,26
2.3,10.0,,,,,26
2.33,10.0,,,,,26
2.37,10.0,,,,,26
2.4,10.0,,,,,26
2.43,10.0,,41.0,,,26
2.47,10.0,,,,,26
2.5,10.0,,,,,26
2.53,10.0,,,,,26
2.57,10.0,,41.0,,,26
2.6,10.0,,41.0,,,26
2.63,10.0,,41.0,,,26
2.67,10.0,,41.0,,,26
2.7,10.0,,41.0,,,26
2.73,10.0,,41.0,,,26
2.77,10.0,,41.0,,,26
2.8,10.0,,41.0,,,26
2.83,10.0,,41.0,,,26
2.87,10.0,,41.0,,,26
2.9,10.0,,41.0,,,26
2.93,10.0,,41.0,,,26
2.97,10.0,,41.0,,,26
3.0,10.0,,41.0,,,26
3.03,10.0,,41.0,,,26
3.07,10.0,,41.0,,,26
3.1,10.0,,41.0,,,26
3.13,10.0,,41.0,,,26
3.17,10.0,,41.0,,,26
3.2,10.0,,41.0,,,26
3.23,10.0,,41.0,,,26
3.27,10.0,,41.0,,,26
3.3,10.0,,41.0,,,26
3.33,10.0,,41.0,,,26
3.37,10.0,,41.0,,,26
3.4,10.0,,41.0,,,26
3.43,10.0,,41.0,,,26
3.47,10.0,,41.0,,,26
3.5,10.0,,41.0,,,26
3.53,10.0,,41.0,,,26
3.57,10.0,,41.0,,,26
3.6,10.0,,41.0,,,26
3.63,10.0,,41.0,,,26
3.67,10.0,,41.0,,,26
3.7,10.0,,41.0,,,26
3.73,10.0,,41.0,,,26
3.77,10.0,,41.0,,,26
3.8,10.0,,41.0,,,26
3.83,10.0,,41.0,,,26
3.87,10.0,,41.0,,,26
3.9,10.0,,41.0,,,26
3.93,10.0,,41.0,,,26
3.97,10.0,,41.0,,,26
4.0,10.0,,41.0,,,26
4.03,10.0,,41.0,,,26
4.07,10.0,,41.0,,,26
4.1,10.0,,41.0,,,26
4.13,10.0,,41.0,,,26
4.17,10.0,,41.0,,,26
4.2,10.0,,41.0,,,26
4.23,10.0,,41.0,,,26
4.27,10.0,,41.0,,,26
4.3,10.0,,41.0,,,26
4.33,10.0,,41.0,,,26
4.37,10.0,,41.0,,,26
4.4,10.0,,41.0,,,26
4.43,10.0,,41.0,,,26
4.47,10.0,,41.0,,,26
4.5,10.0,,41.0,,,26
4.53,10.0,,41.0,,,26
4.57,10.0,,41.0,,,26
4.6,10.0,,41.0,,,26
4.63,10.0,,41.0,,,26
4.67,10.0,,41.0,,,26
4.7,10.0,,41.0,,,26
4.73,10.0,,41.0,,,26
4.77,10.0,,41.0,,,26
4.8,10.0,,41.0,,,26
4.83,10.0,,41.0,,,26
4.87,10.0,,41.0,,,26
4.9,10.0,,41.0,,,26
4.93,10.0,,41.0,,,26
4.97,10.0,,,,,26
5.0,10.0,,41.0,,,26
5.03,10.0,,,,,26
5.07,10.0,,,,,26
5.1,10.0,,,,,26
5.13,10.0,,41.0,,,26
5.17,10.0,,,,,26
5.2,10.0,,,,,26
5.23,10.0,,41.0,,,26
5.27,10.0,,41.0,,,26
5.3,10.0,,41.0,,,26
5.33,10.0,,41.0,,,26
5.37,10.0,,41.0,,,26
5.4,10.0,,41.0,,,26
5.43,10.0,,41.0,,,26
5.47,10.0,,41.0,,,26
5.5,10.0,,41.0,,,26
