frame,leading,right_leading,left_leading,following,right_following,left_following,leading_relative_distance,leading_relative_speed_x,leading_relative_speed_y,right_leading_relative_distance,right_leading_relative_speed_x,right_leading_relative_speed_y,left_leading_relative_distance,left_leading_relative_speed_x,left_leading_relative_speed_y,following_relative_distance,following_relative_speed_x,following_relative_speed_y,right_following_relative_distance,right_following_relative_speed_x,right_following_relative_speed_y,left_following_relative_distance,left_following_relative_speed_x,left_following_relative_speed_y
2.1,,,,7.0,,,,,,,,,,,,108.363,2.5,1.01,,,,,,
2.13,,,10.0,7.0,,,,,,,,,20.557,116.02,2.6,108.511,1.48,1.21,,,,,,
2.17,,,,7.0,,,,,,,,,,,,108.961,4.26,2.5,,,,,,
2.2,,,,7.0,,,,,,,,,,,,109.324,3.24,1.57,,,,,,
2.23,,,,7.0,,,,,,,,,,,,109.603,2.6,2.41,,,,,,
2.27,,,,7.0,,,,,,,,,,,,109.581,0.37,1.39,,,,,,
2.3,,,,7.0,,,,,,,,,,,,109.543,0.27,1.39,,,,,,
2.33,,,,7.0,,,,,,,,,,,,109.122,3.89,0.93,,,,,,
2.37,,,,7.0,,,,,,,,,,,,109.714,5.55,1.11,,,,,,
2.4,,,,7.0,,,,,,,,,,,,109.588,1.21,0.46,,,,,,
2.43,,,,7.0,,,,,,,,,,,,109.768,1.66,2.5,,,,,,
2.47,,,,7.0,,,,,,,,,,,,109.756,0.09,1.11,,,,,,
2.5,,,,7.0,,,,,,,,,,,,109.953,1.86,1.02,,,,,,
2.53,,,,7.0,,,,,,,,,,,,109.752,1.85,2.32,,,,,,
2.57,,,,7.0,,,,,,,,,,,,110.123,3.33,0.65,,,,,,
2.6,,,,7.0,,,,,,,,,,,,110.507,3.61,0.65,,,,,,
2.63,,,,7.0,,,,,,,,,,,,110.796,2.6,2.22,,,,,,
2.67,,,,7.0,,,,,,,,,,,,111.651,7.87,0.1,,,,,,
2.7,,,,7.0,,,,,,,,,,,,111.818,1.66,0.64,,,,,,
2.73,,,,7.0,,,,,,,,,,,,111.591,2.13,0.65,,,,,,
2.77,,,,7.0,,,,,,,,,,,,111.536,0.46,0.37,,,,,,
2.8,,,10.0,7.0,,,,,,,,,32.951,666.21,21.21,111.304,2.23,1.29,,,,,,
2.83,,,10.0,7.0,,,,,,,,,33.594,7.41,0.74,111.473,1.58,0.37,,,,,,
2.87,,,10.0,7.0,,,,,,,,,33.401,0.74,2.22,111.775,2.78,1.2,,,,,,
2.9,,,10.0,7.0,,,,,,,,,34.488,12.5,1.39,111.986,1.94,2.03,,,,,,
2.93,,,10.0,7.0,,,,,,,,,35.481,9.26,2.22,112.141,1.48,0.18,,,,,,
2.97,,,10.0,7.0,,,,,,,,,36.551,10.09,2.04,111.548,5.46,0.74,,,,,,
3.0,,,10.0,7.0,,,,,,,,,37.205,8.43,2.78,111.481,0.65,0.83,,,,,,
3.03,,,10.0,7.0,,,,,,,,,37.883,7.22,0.28,111.703,2.03,1.02,,,,,,
3.07,,,10.0,7.0,,,,,,,,,38.802,7.87,3.34,111.671,0.37,1.3,,,,,,
3.1,,,10.0,7.0,,,,,,,,,39.624,8.7,0.46,112.346,6.2,2.04,,,,,,
3.13,,,10.0,7.0,,,,,,,,,40.354,6.39,2.22,113.007,6.11,4.07,,,,,,
3.17,,,10.0,7.0,,,,,,,,,41.04,8.15,2.41,113.221,1.95,0.28,,,,,,
3.2,,,10.0,7.0,,,,,,,,,41.488,5.64,2.13,113.887,6.21,1.3,,,,,,
3.23,,,10.0,7.0,,,,,,,,,41.963,4.91,0.28,113.919,0.37,1.02,,,,,,
3.27,,,10.0,7.0,,,,,,,,,42.861,9.91,1.76,113.488,3.98,2.68,,,,,,
3.3,,,10.0,7.0,,,,,,,,,43.302,5.0,1.2,114.116,5.84,0.65,,,,,,
3.33,,,10.0,7.0,,,,,,,,,44.364,11.02,1.01,114.708,5.56,1.2,,,,,,
3.37,,,10.0,7.0,,,,,,,,,45.109,8.52,2.96,114.57,1.3,1.67,,,,,,
3.4,,,10.0,7.0,,,,,,,,,46.237,11.58,0.74,114.772,1.85,0.93,,,,,,
3.43,,,10.0,7.0,,,,,,,,,46.937,6.57,0.92,114.735,0.37,1.57,,,,,,
3.47,,,10.0,7.0,,,,,,,,,47.926,9.63,0.37,115.183,4.07,1.48,,,,,,
3.5,,,10.0,7.0,,,,,,,,,49.067,11.2,0.1,115.283,0.84,1.76,,,,,,
3.53,,,10.0,7.0,,,,,,,,,50.051,9.45,0.47,115.219,0.47,0.37,,,,,,
3.57,,,10.0,7.0,,,,,,,,,50.883,7.78,1.11,114.476,6.85,0.83,,,,,,
3.6,,,10.0,7.0,,,,,,,,,51.31,4.81,1.58,114.777,2.69,1.39,,,,,,
3.63,,,10.0,7.0,,,,,,,,,51.489,1.76,0.18,115.443,6.2,1.66,,,,,,
3.67,,,10.0,7.0,,,,,,,,,52.737,11.48,1.85,116.436,9.35,0.65,,,,,,
3.7,,,10.0,7.0,,,,,,,,,53.935,11.48,1.02,117.01,5.19,1.58,,,,,,
3.73,,,10.0,7.0,,,,,,,,,54.59,6.48,0.46,117.318,2.78,3.06,,,,,,
3.77,,,10.0,7.0,,,,,,,,,55.118,5.47,1.2,117.15,1.58,2.5,,,,,,
3.8,,,10.0,7.0,,,,,,,,,55.595,5.19,1.48,117.532,3.42,0.93,,,,,,
3.83,,,10.0,7.0,,,,,,,,,56.073,5.0,1.2,117.463,0.56,0.19,,,,,,
3.87,,,10.0,7.0,,,,,,,,,56.893,8.42,1.66,117.341,1.2,0.74,,,,,,
3.9,,,10.0,7.0,,,,,,,,,58.049,11.57,1.3,117.576,2.23,1.86,,,,,,
3.93,,,10.0,7.0,,,,,,,,,59.273,11.67,0.09,117.838,2.5,0.83,,,,,,
3.97,,,10.0,7.0,,,,,,,,,59.962,6.85,0.83,117.489,3.15,3.52,,,,,,
4.0,,,10.0,7.0,,,,,,,,,60.639,6.48,0.27,117.667,1.76,2.96,,,,,,
4.03,,,10.0,7.0,,,,,,,,,61.305,6.48,0.37,118.191,4.91,0.46,,,,,,
4.07,,,10.0,7.0,,,,,,,,,62.416,11.3,2.31,118.8,5.55,0.55,,,,,,
4.1,,,10.0,7.0,,,,,,,,,63.018,6.39,2.5,118.832,0.27,1.11,,,,,,
4.13,,,10.0,7.0,,,,,,,,,63.448,4.72,2.32,119.44,5.56,1.29,,,,,,
4.17,,,10.0,7.0,,,,,,,,,64.484,9.54,1.21,118.949,4.45,0.46,,,,,,
4.2,,,10.0,7.0,,,,,,,,,65.524,9.72,0.93,119.456,4.54,3.24,,,,,,
4.23,,,10.0,7.0,,,,,,,,,66.47,9.44,1.86,119.256,1.85,0.19,,,,,,
4.27,,,10.0,7.0,,,,,,,,,66.946,5.09,2.68,119.54,2.78,2.5,,,,,,
4.3,,,10.0,7.0,,,,,,,,,67.67,7.31,1.58,119.619,0.65,0.37,,,,,,
4.33,,,10.0,7.0,,,,,,,,,68.562,8.61,1.11,120.121,4.73,0.93,,,,,,
4.37,,,10.0,7.0,,,,,,,,,69.043,5.0,1.67,120.484,3.33,1.12,,,,,,
4.4,,,10.0,7.0,,,,,,,,,69.619,6.02,2.5,120.717,2.13,0.74,,,,,,
4.43,,,10.0,7.0,,,,,,,,,70.283,6.48,1.66,120.472,2.22,0.09,,,,,,
4.47,,,10.0,7.0,,,,,,,,,70.913,6.3,1.76,120.649,1.76,1.58,,,,,,
4.5,,,10.0,7.0,,,,,,,,,71.757,8.06,0.0,120.286,3.52,1.3,,,,,,
4.53,,,10.0,7.0,,,,,,,,,72.523,7.78,3.43,120.851,5.46,3.06,,,,,,
4.57,,,10.0,7.0,,,,,,,,,73.003,4.54,0.19,121.012,1.48,3.05,,,,,,
4.6,,,10.0,7.0,,,,,,,,,74.008,9.63,0.64,120.946,0.75,1.29,,,,,,
4.63,,,10.0,7.0,,,,,,,,,74.163,1.76,1.95,121.317,3.52,0.83,,,,,,
4.67,,,10.0,7.0,,,,,,,,,74.905,7.13,0.55,121.449,1.2,2.31,,,,,,
4.7,,,10.0,7.0,,,,,,,,,75.93,9.91,1.85,121.713,2.5,1.39,,,,,,
4.73,,,10.0,7.0,,,,,,,,,76.916,9.53,1.95,122.362,6.02,1.02,,,,,,
4.77,,,10.0,7.0,,,,,,,,,77.65,7.32,2.59,123.222,7.96,0.09,,,,,,
4.8,,,10.0,7.0,,,,,,,,,78.02,3.98,3.24,123.267,0.46,0.28,,,,,,
4.83,,,10.0,7.0,,,,,,,,,78.695,6.94,3.52,122.621,6.02,2.04,,,,,,
4.87,,,10.0,7.0,,,,,,,,,79.253,5.65,2.87,122.671,0.37,1.02,,,,,,
4.9,,,10.0,7.0,,,,,,,,,80.535,12.69,5.37,123.075,3.89,0.56,,,,,,
4.93,,,10.0,7.0,,,,,,,,,81.107,5.83,4.17,123.205,1.21,2.04,,,,,,
4.97,,,10.0,7.0,,,,,,,,,81.508,4.17,3.34,123.72,4.72,0.84,,,,,,
5.0,,,10.0,7.0,,,,,,,,,82.189,6.48,1.11,124.1,3.62,2.13,,,,,,
5.03,,,10.0,7.0,,,,,,,,,83.019,8.06,1.48,123.565,5.09,0.83,,,,,,
5.07,,,10.0,7.0,,,,,,,,,83.645,5.84,0.37,123.655,0.83,1.57,,,,,,
5.1,,,10.0,7.0,,,,,,,,,84.636,9.16,0.28,124.141,4.54,2.87,,,,,,
5.13,,,10.0,7.0,,,,,,,,,85.147,4.63,2.04,124.916,7.22,0.74,,,,,,
5.17,,,10.0,7.0,,,,,,,,,85.624,4.63,2.04,125.782,7.97,1.67,,,,,,
5.2,,,10.0,7.0,,,,,,,,,86.562,9.35,5.28,125.429,3.34,2.41,,,,,,
5.23,,,10.0,7.0,,,,,,,,,87.292,6.95,2.41,125.125,2.78,1.85,,,,,,
5.27,,,10.0,7.0,,,,,,,,,87.804,5.28,4.81,125.082,0.46,5.55,,,,,,
5.3,,,10.0,7.0,,,,,,,,,88.736,8.89,2.4,125.057,0.28,2.87,,,,,,
5.33,,,10.0,7.0,,,,,,,,,88.731,0.37,5.37,125.563,4.72,3.24,,,,,,
5.37,,,10.0,7.0,,,,,,,,,89.844,10.74,3.8,125.88,2.77,1.11,,,,,,
5.4,,,10.0,7.0,,,,,,,,,90.52,6.48,2.69,126.293,3.79,1.3,,,,,,
5.43,,,10.0,7.0,,,,,,,,,90.794,2.59,2.6,126.704,3.89,2.6,,,,,,
5.47,,,10.0,7.0,,,,,,,,,90.964,1.76,1.39,126.714,0.0,2.03,,,,,,
5.5,,,10.0,7.0,,,,,,,,,91.579,5.84,1.11,127.199,4.44,1.67,,,,,,
5.53,,,10.0,7.0,,,,,,,,,92.738,10.93,2.68,127.138,0.65,1.48,,,,,,
