frame,leading,right_leading,left_leading,following,right_following,left_following,leading_relative_distance,leading_relative_speed_x,leading_relative_speed_y,right_leading_relative_distance,right_leading_relative_speed_x,right_leading_relative_speed_y,left_leading_relative_distance,left_leading_relative_speed_x,left_leading_relative_speed_y,following_relative_distance,following_relative_speed_x,following_relative_speed_y,right_following_relative_distance,right_following_relative_speed_x,right_following_relative_speed_y,left_following_relative_distance,left_following_relative_speed_x,left_following_relative_speed_y
9.0,10.0,,,,7.0,,150.014,6.48,2.22,,,,,,,,,,131.253,1.02,1.3,,,
9.03,,,,,7.0,,,,,,,,,,,,,,130.825,3.99,0.65,,,
9.07,,,,,7.0,,,,,,,,,,,,,,131.063,2.22,0.64,,,
9.1,,,,,7.0,,,,,,,,,,,,,,130.778,2.59,0.09,,,
9.13,,,,,7.0,,,,,,,,,,,,,,130.732,0.37,0.28,,,
9.17,,,,,7.0,,,,,,,,,,,,,,131.189,4.35,2.5,,,
9.2,,,,,7.0,,,,,,,,,,,,,,130.939,2.31,0.09,,,
9.23,,,,,7.0,,,,,,,,,,,,,,130.705,2.04,3.24,,,
9.27,,,,,7.0,,,,,,,,,,,,,,130.698,0.09,0.46,,,
9.3,,,,,7.0,,,,,,,,,,,,,,130.29,3.8,0.56,,,
9.33,,,,,7.0,,,,,,,,,,,,,,130.788,4.72,0.37,,,
9.37,,,,,7.0,,,,,,,,,,,,,,130.367,4.08,3.06,,,
9.43,,,,,7.0,,,,,,,,,,,,,,131.423,29.63,3.05,,,
9.47,,,,,7.0,,,,,,,,,,,,,,131.183,2.13,3.24,,,
9.5,,,,,7.0,,,,,,,,,,,,,,130.386,7.41,0.47,,,
9.53,,,,,7.0,,,,,,,,,,,,,,129.979,3.7,0.56,,,
9.57,,,,,7.0,,,,,,,,,,,,,,129.73,2.23,2.13,,,
9.6,,,,,7.0,,,,,,,,,,,,,,129.568,1.58,0.56,,,
9.63,,,,,7.0,,,,,,,,,,,,,,129.423,1.39,1.3,,,
9.67,,,,,7.0,,,,,,,,,,,,,,129.777,3.33,1.38,,,
9.7,,,,,7.0,,,,,,,,,,,,,,129.549,2.03,0.37,,,
9.73,,,,,7.0,,,,,,,,,,,,,,129.864,2.87,1.12,,,
9.77,,,,,7.0,,,,,,,,,,,,,,129.799,0.56,2.6,,,
9.8,,,,,7.0,,,,,,,,,,,,,,129.746,0.37,3.33,,,
9.83,,,,,7.0,,,,,,,,,,,,,,129.56,1.66,1.02,,,
9.87,,,,,7.0,,,,,,,,,,,,,,129.274,2.68,0.27,,,
9.9,,,,,7.0,,,,,,,,,,,,,,129.406,1.2,2.22,,,
9.93,,,,,7.0,,,,,,,,,,,,,,129.246,1.39,1.21,,,
9.97,,,,,7.0,,,,,,,,,,,,,,129.123,1.29,3.43,,,
10.0,,,,,7.0,,,,,,,,,,,,,,128.716,3.89,1.85,,,
10.03,,,,,7.0,,,,,,,,,,,,,,128.193,4.81,0.75,,,
10.07,,,,,7.0,,,,,,,,,,,,,,128.002,1.66,2.87,,,
10.1,,,,,7.0,,,,,,,,,,,,,,127.844,1.48,2.96,,,
10.13,,,,,7.0,,,,,,,,,,,,,,127.97,1.11,0.93,,,
10.17,,,,,7.0,,,,,,,,,,,,,,127.674,2.68,0.93,,,
10.2,,,,,7.0,,,,,,,,,,,,,,127.502,1.67,0.55,,,
10.23,,,,,7.0,,,,,,,,,,,,,,127.584,0.93,1.85,,,
10.27,,,,,7.0,,,,,,,,,,,,,,128.008,3.79,1.49,,,
10.3,,,,,7.0,,,,,,,,,,,,,,128.271,2.59,0.56,,,
10.33,,,,,7.0,,,,,,,,,,,,,,127.781,4.54,1.39,,,
10.37,,,,,7.0,,,,,,,,,,,,,,127.432,3.15,2.6,,,
10.4,,,,,7.0,,,,,,,,,,,,,,127.74,2.78,2.31,,,
10.43,,,,,7.0,,,,,,,,,,,,,,127.924,1.67,0.27,,,
10.47,,,,,7.0,,,,,,,,,,,,,,127.456,4.26,0.93,,,
10.5,,,,,7.0,,,,,,,,,,,,,,127.257,1.85,0.18,,,
10.53,,,,,7.0,,,,,,,,,,,,,,126.643,5.74,1.58,,,
10.57,,,,,7.0,,,,,,,,,,,,,,126.78,1.2,1.85,,,
10.6,,,,,7.0,,,,,,,,,,,,,,126.679,1.02,2.5,,,
10.63,,,,,7.0,,,,,,,,,,,,,,126.938,2.41,0.37,,,
10.67,,,,,7.0,,,,,,,,,,,,,,126.99,0.55,2.03,,,
10.7,,,,,7.0,,,,,,,,,,,,,,127.036,0.37,0.37,,,
10.73,,,,,7.0,,,,,,,,,,,,,,126.171,7.87,1.48,,,
10.77,,,,,7.0,,,,,,,,,,,,,,125.566,5.65,0.0,,,
10.8,,,,,7.0,,,,,,,,,,,,,,125.482,0.75,0.09,,,
10.83,,,,,7.0,,,,,,,,,,,,,,125.508,0.28,2.4,,,
10.87,,,,,7.0,,,,,,,,,,,,,,125.585,0.65,0.83,,,
10.9,,,,,7.0,,,,,,,,,,,,,,125.613,0.37,1.95,,,
10.93,,,,,7.0,,,,,,,,,,,,,,125.535,0.64,1.21,,,
10.97,,,,,7.0,,,,,,,,,,,,,,125.541,0.1,2.04,,,
