Frame: 1.57, Preceding ID: None, Preceding Right ID: 5, Preceding Left ID: 2, Following ID: None, Following Left ID: None, Following Right ID: 10
Frame: 1.6, Preceding ID: None, Preceding Right ID: 5, Preceding Left ID: 2, Following ID: None, Following Left ID: None, Following Right ID: 10
Frame: 1.63, Preceding ID: None, Preceding Right ID: 5, Preceding Left ID: 2, Following ID: None, Following Left ID: None, Following Right ID: 10
Frame: 1.67, Preceding ID: None, Preceding Right ID: 5, Preceding Left ID: 2, Following ID: None, Following Left ID: None, Following Right ID: 10
Frame: 1.7, Preceding ID: None, Preceding Right ID: 5, Preceding Left ID: 2, Following ID: None, Following Left ID: None, Following Right ID: 10
Frame: 1.73, Preceding ID: None, Preceding Right ID: 5, Preceding Left ID: 2, Following ID: None, Following Left ID: None, Following Right ID: 10
Frame: 1.77, Preceding ID: None, Preceding Right ID: 5, Preceding Left ID: 2, Following ID: None, Following Left ID: None, Following Right ID: 10
Frame: 1.8, Preceding ID: None, Preceding Right ID: 5, Preceding Left ID: 2, Following ID: None, Following Left ID: None, Following Right ID: 10
Frame: 1.83, Preceding ID: None, Preceding Right ID: 5, Preceding Left ID: 2, Following ID: None, Following Left ID: None, Following Right ID: 10
Frame: 1.87, Preceding ID: None, Preceding Right ID: 10, Preceding Left ID: 2, Following ID: None, Following Left ID: None, Following Right ID: 7
Frame: 1.9, Preceding ID: None, Preceding Right ID: 10, Preceding Left ID: 2, Following ID: None, Following Left ID: None, Following Right ID: 7
Frame: 1.93, Preceding ID: None, Preceding Right ID: 10, Preceding Left ID: 2, Following ID: None, Following Left ID: None, Following Right ID: 7
Frame: 1.97, Preceding ID: None, Preceding Right ID: 10, Preceding Left ID: 2, Following ID: None, Following Left ID: None, Following Right ID: 7
Frame: 2.0, Preceding ID: None, Preceding Right ID: 10, Preceding Left ID: 2, Following ID: None, Following Left ID: None, Following Right ID: 7
Frame: 2.03, Preceding ID: None, Preceding Right ID: 5, Preceding Left ID: 2, Following ID: None, Following Left ID: None, Following Right ID: 7
Frame: 2.07, Preceding ID: None, Preceding Right ID: 5, Preceding Left ID: 2, Following ID: None, Following Left ID: None, Following Right ID: 7
Frame: 2.1, Preceding ID: None, Preceding Right ID: 5, Preceding Left ID: 2, Following ID: None, Following Left ID: None, Following Right ID: 7
Frame: 2.13, Preceding ID: None, Preceding Right ID: 10, Preceding Left ID: 2, Following ID: None, Following Left ID: None, Following Right ID: 7
Frame: 2.17, Preceding ID: None, Preceding Right ID: 5, Preceding Left ID: 2, Following ID: None, Following Left ID: None, Following Right ID: 7
