frame,ID,center_x,center_y,v_x,v_y,a_x,a_y,lane,preceding_rel_v_x,preceding_rel_v_y,right_preceding_rel_v_x,right_preceding_rel_v_y,left_preceding_rel_v_x,left_preceding_rel_v_y,following_rel_v_x,following_rel_v_y,right_following_rel_v_x,right_following_rel_v_y,left_following_rel_v_x,left_following_rel_v_y,preceding_distance,right_preceding_distance,left_preceding_distance,following_distance,right_following_distance,left_following_distance
0.0,35,175.01,456.72,0.0,0.0,0.0,0.0,3,,,0.0,0.0,,,,,,,,,,26.419434134742566,,,,
0.03,35,172.97,456.61,-18.89,-1.02,0.0,0.0,3,,,18.89,1.02,,,,,,,,,,25.314774342268986,,,,
0.07,35,171.47,456.49,-13.89,-1.11,166.67,-3.0,3,,,13.89,1.11,,,,,,,,,,24.404239385811643,,,,
0.1,35,170.34,456.18,-10.46,-2.87,114.33,-58.67,3,,,10.46,2.87,,,,,,,,,,23.52878449899187,,,,
0.13,35,169.16,455.93,-10.93,-2.31,-15.67,18.67,3,,,10.93,2.31,,,,,,,,,,22.662402785229986,,,,
0.17,35,168.08,455.79,-10.0,-1.3,31.0,33.67,3,,,10.0,1.3,,,,,,,,,,21.931851267049947,,,,
0.2,35,166.9,455.66,-10.93,-1.2,-31.0,3.33,3,,,10.93,1.2,,,,,,,,,,21.154869415810637,,,,
0.23,35,166.05,455.16,-7.87,-4.63,102.0,-114.33,3,,,7.87,4.63,,,,,,,,,,20.240121047068875,,,,
0.27,35,165.16,455.0,-8.24,-1.48,-12.33,105.0,3,,,8.24,1.48,,,,,,,,,,19.754839913297186,,,,
0.3,35,163.78,454.83,-12.78,-1.57,-151.33,-3.0,3,,,12.78,1.57,,,,,,,,,,19.380879752993643,,,,
0.33,35,162.74,454.74,-9.63,-0.83,105.0,24.67,3,,,9.63,0.83,,,,,,,,,,19.092626849126862,,,,
0.37,35,161.62,454.68,-10.37,-0.56,-24.67,9.0,3,,,10.37,0.56,,,,,,,,,,18.811485853063278,,,,
0.4,35,160.83,454.65,-7.31,-0.28,102.0,9.33,3,,,7.31,0.28,,,,,,,,,,18.660937811374826,,,,
0.43,35,159.64,454.51,-11.02,-1.3,-123.67,-34.0,3,,,11.02,1.3,,,,,,,,,,18.36342560635132,,,,
0.47,35,158.81,454.29,-7.69,-2.04,111.0,-24.67,3,,,7.69,2.04,,,,,,,,,,18.0847145401856,,,,
0.5,35,157.92,454.14,-8.24,-1.39,-18.33,21.67,3,,,8.24,1.39,,,,,,,,,,17.90268415629341,,,,
0.53,35,157.01,454.07,-8.43,-0.65,-6.33,24.67,3,,,8.43,0.65,,,,,,,,,,17.830810413438854,,,,
0.57,35,156.03,453.98,-9.07,-0.83,-21.33,-6.0,3,,,9.07,0.83,,,,,,,,,,17.76816253865324,,,,
0.6,35,155.18,453.85,-7.87,-1.2,40.0,-12.33,3,,,7.87,1.2,,,,,,,,,,17.69773149304736,,,,
0.63,35,154.26,453.62,-8.52,-2.13,-21.67,-31.0,3,,,8.52,2.13,,,,,,,,,,17.599355101821203,,,,
0.67,35,153.18,453.37,-10.0,-2.31,-49.33,-6.0,3,,,10.0,2.31,,,,,,,,,,17.533525030637733,,,,
0.7,35,152.37,453.23,-7.5,-1.3,83.33,33.67,3,,,7.5,1.3,,,,,,,,,,17.62013053300118,,,,
0.73,35,151.35,453.02,-9.44,-1.94,-64.67,-21.33,3,,,9.44,1.94,,,,,,,,,,17.73459895233042,,,,
0.77,35,150.39,452.99,-8.89,-0.28,18.33,55.33,3,,,8.89,0.28,,,,,,,,,,18.047739470637314,,,,
0.8,35,149.32,452.83,-9.91,-1.48,-34.0,-40.0,3,,,9.91,1.48,,,,,,,,,,18.400807047518306,,,,
0.83,35,148.37,452.79,-8.8,-0.37,37.0,37.0,3,,,,,,,,,,,,,,,,,,
0.87,35,147.45,452.68,-8.52,-1.02,9.33,-21.67,3,,,8.52,1.02,,,,,,,,,,19.294652108809835,,,,
0.9,35,146.47,452.5,-9.07,-1.67,-18.33,-21.67,3,,,9.07,1.67,,,,,,,,,,19.670599889174696,,,,
0.93,35,145.55,452.29,-8.52,-1.94,18.33,-9.0,3,,,8.52,1.94,,,,,,,,,,20.010122438406036,,,,
0.97,35,144.8,452.24,-6.94,-0.46,52.67,49.33,3,,,6.94,0.46,,,,,,,,,,20.465033593913297,,,,
1.0,35,143.98,452.09,-7.59,-1.39,-21.67,-31.0,3,,,7.59,1.39,,,,,,,,,,20.9110521016997,,,,
1.03,35,143.09,452.05,-8.24,-0.37,-21.67,34.0,3,,,8.24,0.37,,,,,,,,,,21.47947159499041,,,,
1.07,35,142.21,451.89,-8.15,-1.48,3.0,-37.0,3,,,8.15,1.48,,,,,,,,,,21.942354021389765,,,,
1.1,35,141.47,451.79,-6.85,-0.93,43.33,18.33,3,,,6.85,0.93,,,,,,,,,,22.397698542484235,,,,
1.13,35,140.78,451.61,-6.39,-1.67,15.33,-24.67,3,,,6.39,1.67,,,,,,,,,,22.784848035481833,,,,
1.17,35,139.97,451.5,-7.5,-1.02,-37.0,21.67,3,,,7.5,1.02,,,,,,,,,,23.241525337206244,,,,
