frame,ID,car_type,x1,y1,x2,y2,center_x,center_y,front_x,front_y,back_x,back_y,width,height,lane
0.0,1, black car,684.42,501.29,715.18,515.11,699.8,508.2,684.42,508.2,715.18,508.2,30.76,13.82,1
0.03,1, black car,682.82,501.19,713.52,514.98,698.17,508.09,682.82,508.09,713.52,508.09,30.7,13.79,1
0.07,1, black car,681.01,501.18,711.38,514.83,696.19,508.0,681.01,508.0,711.38,508.0,30.37,13.65,1
0.1,1, black car,679.26,500.97,709.42,514.52,694.34,507.74,679.26,507.74,709.42,507.74,30.16,13.55,1
0.13,1, black car,677.14,500.73,707.18,514.21,692.16,507.47,677.14,507.47,707.18,507.47,30.04,13.48,1
0.17,1, black car,674.88,500.59,704.94,514.07,689.91,507.33,674.88,507.33,704.94,507.33,30.07,13.47,1
0.2,1, black car,672.76,500.41,703.04,513.96,687.9,507.18,672.76,507.18,703.04,507.18,30.28,13.56,1
0.23,1, black car,670.73,500.17,701.38,513.89,686.05,507.03,670.73,507.03,701.38,507.03,30.65,13.72,1
0.27,1, black car,668.43,500.13,699.51,514.03,683.97,507.08,668.43,507.08,699.51,507.08,31.08,13.9,1
0.3,1, black car,665.93,499.77,697.41,513.82,681.67,506.8,665.93,506.8,697.41,506.8,31.47,14.05,1
0.33,1, black car,663.3,499.55,694.54,513.47,678.92,506.51,663.3,506.51,694.54,506.51,31.24,13.92,1
0.37,1, black car,661.28,499.45,692.31,513.23,676.8,506.34,661.28,506.34,692.31,506.34,31.02,13.79,1
0.4,1, black car,659.44,499.24,690.0,512.81,674.72,506.02,659.44,506.02,690.0,506.02,30.56,13.57,1
0.43,1, black car,657.05,498.99,687.78,512.65,672.42,505.82,657.05,505.82,687.78,505.82,30.73,13.66,1
0.47,1, black car,655.17,498.89,685.81,512.52,670.49,505.7,655.17,505.7,685.81,505.7,30.64,13.64,1
0.5,1, black car,653.41,498.91,684.11,512.57,668.76,505.74,653.41,505.74,684.11,505.74,30.7,13.67,1
0.53,1, black car,650.74,498.65,681.78,512.46,666.26,505.56,650.74,505.56,681.78,505.56,31.04,13.81,1
0.57,1, black car,648.3,498.37,679.79,512.37,664.04,505.37,648.3,505.37,679.79,505.37,31.49,14.01,1
0.6,1, black car,646.55,498.23,678.02,512.25,662.29,505.24,646.55,505.24,678.02,505.24,31.47,14.02,1
0.63,1, black car,644.77,498.11,676.2,512.12,660.49,505.12,644.77,505.12,676.2,505.12,31.43,14.02,1
0.67,1, black car,642.74,497.62,674.56,511.82,658.65,504.72,642.74,504.72,674.56,504.72,31.82,14.2,1
0.7,1, black car,640.56,497.38,672.69,511.7,656.63,504.54,640.56,504.54,672.69,504.54,32.13,14.32,1
0.73,1, black car,638.72,497.21,670.55,511.4,654.64,504.3,638.72,504.3,670.55,504.3,31.83,14.19,1
0.77,1, black car,636.04,496.75,667.82,510.92,651.93,503.84,636.04,503.84,667.82,503.84,31.77,14.17,1
0.8,1, black car,633.69,496.54,665.47,510.68,649.58,503.61,633.69,503.61,665.47,503.61,31.78,14.14,1
0.83,1, black car,631.99,496.22,663.52,510.24,647.75,503.23,631.99,503.23,663.52,503.23,31.53,14.02,1
0.87,1, black car,629.6,496.05,661.19,510.07,645.4,503.06,629.6,503.06,661.19,503.06,31.59,14.02,1
0.9,1, black car,627.85,496.05,659.64,510.14,643.75,503.1,627.85,503.1,659.64,503.1,31.79,14.09,1
0.93,1, black car,625.42,495.74,657.76,510.07,641.59,502.91,625.42,502.91,657.76,502.91,32.34,14.33,1
0.97,1, black car,623.61,495.25,656.52,509.87,640.06,502.56,623.61,502.56,656.52,502.56,32.91,14.62,1
1.0,1, black car,621.8,494.79,654.2,509.19,638.0,501.99,621.8,501.99,654.2,501.99,32.4,14.4,1
1.03,1, black car,619.8,494.67,651.64,508.82,635.72,501.75,619.8,501.75,651.64,501.75,31.83,14.15,1
1.07,1, black car,617.38,494.58,649.0,508.61,633.19,501.6,617.38,501.6,649.0,501.6,31.62,14.03,1
1.1,1, black car,615.27,494.5,646.82,508.47,631.05,501.49,615.27,501.49,646.82,501.49,31.55,13.97,1
1.13,1, black car,612.82,494.35,644.69,508.46,628.76,501.41,612.82,501.41,644.69,501.41,31.87,14.11,1
1.17,1, black car,610.73,494.14,642.89,508.41,626.81,501.28,610.73,501.28,642.89,501.28,32.16,14.27,1
1.2,1, black car,608.97,493.93,641.17,508.27,625.07,501.1,608.97,501.1,641.17,501.1,32.2,14.34,1
1.23,1, black car,607.17,493.63,639.01,507.84,623.09,500.73,607.17,500.73,639.01,500.73,31.84,14.21,1
1.27,1, black car,605.43,493.6,636.56,507.5,621.0,500.55,605.43,500.55,636.56,500.55,31.13,13.91,1
1.3,1, black car,603.44,493.28,634.47,507.14,618.95,500.21,603.44,500.21,634.47,500.21,31.03,13.86,1
1.33,1, black car,601.58,493.04,631.66,506.47,616.62,499.75,601.58,499.75,631.66,499.75,30.08,13.43,1
1.37,1, black car,599.28,492.5,629.49,505.98,614.38,499.24,599.28,499.24,629.49,499.24,30.21,13.48,1
1.4,1, black car,597.12,492.26,627.53,505.81,612.32,499.04,597.12,499.04,627.53,499.04,30.41,13.56,1
1.43,1, black car,595.41,492.36,625.73,505.86,610.57,499.11,595.41,499.11,625.73,499.11,30.33,13.5,1
1.47,1, black car,593.28,492.04,623.82,505.63,608.55,498.83,593.28,498.83,623.82,498.83,30.53,13.59,1
1.5,1, black car,591.09,491.93,621.6,505.48,606.35,498.7,591.09,498.7,621.6,498.7,30.51,13.55,1
1.53,1, black car,589.01,491.62,619.31,505.06,604.16,498.34,589.01,498.34,619.31,498.34,30.3,13.45,1
1.57,1, black car,586.45,491.35,616.91,504.86,601.68,498.11,586.45,498.11,616.91,498.11,30.47,13.52,1
1.6,1, black car,584.23,491.31,614.85,504.89,599.54,498.1,584.23,498.1,614.85,498.1,30.62,13.57,1
1.63,1, black car,582.47,491.24,613.28,504.9,597.88,498.07,582.47,498.07,613.28,498.07,30.82,13.66,1
1.67,1, black car,580.1,491.03,611.5,504.94,595.8,497.99,580.1,497.99,611.5,497.99,31.4,13.91,1
1.7,1, black car,578.26,490.8,610.08,504.92,594.17,497.86,578.26,497.86,610.08,497.86,31.82,14.11,1
1.73,1, black car,576.49,490.65,607.68,504.45,592.08,497.55,576.49,497.55,607.68,497.55,31.19,13.8,1
1.77,1, black car,574.96,490.53,605.28,503.96,590.12,497.24,574.96,497.24,605.28,497.24,30.33,13.43,1
1.8,1, black car,572.59,490.26,602.77,503.65,587.68,496.95,572.59,496.95,602.77,496.95,30.17,13.39,1
1.83,1, black car,569.98,489.96,600.9,503.71,585.44,496.84,569.98,496.84,600.9,496.84,30.92,13.75,1
1.87,1, black car,568.23,489.8,598.98,503.5,583.61,496.65,568.23,496.65,598.98,496.65,30.75,13.7,1
1.9,1, black car,566.15,489.69,597.05,503.46,581.6,496.57,566.15,496.57,597.05,496.57,30.9,13.77,1
1.93,1, black car,564.26,489.61,595.22,503.38,579.74,496.5,564.26,496.5,595.22,496.5,30.96,13.78,1
1.97,1, black car,562.42,489.42,593.58,503.28,578.0,496.35,562.42,496.35,593.58,496.35,31.17,13.86,1
2.0,1, black car,560.77,489.2,591.78,502.98,576.27,496.09,560.77,496.09,591.78,496.09,31.01,13.78,1
2.03,1, black car,558.98,489.33,589.43,502.83,574.21,496.08,558.98,496.08,589.43,496.08,30.45,13.5,1
2.07,1, black car,556.19,488.88,587.26,502.71,571.73,495.79,556.19,495.79,587.26,495.79,31.07,13.82,1
2.1,1, black car,554.36,488.54,584.84,502.1,569.6,495.32,554.36,495.32,584.84,495.32,30.48,13.56,1
2.13,1, black car,552.09,487.98,583.17,501.85,567.63,494.92,552.09,494.92,583.17,494.92,31.08,13.87,1
2.17,1, black car,550.07,487.63,581.26,501.57,565.66,494.6,550.07,494.6,581.26,494.6,31.2,13.94,1
2.2,1, black car,548.36,487.4,579.51,501.37,563.93,494.38,548.36,494.38,579.51,494.38,31.15,13.98,1
2.23,1, black car,546.63,487.36,577.54,501.27,562.08,494.31,546.63,494.31,577.54,494.31,30.91,13.91,1
2.27,1, black car,544.48,487.16,575.16,500.98,559.82,494.07,544.48,494.07,575.16,494.07,30.68,13.82,1
2.3,1, black car,542.29,486.82,572.68,500.55,557.49,493.69,542.29,493.69,572.68,493.69,30.38,13.73,1
2.33,1, black car,540.12,486.5,570.79,500.35,555.45,493.42,540.12,493.42,570.79,493.42,30.67,13.85,1
2.37,1, black car,537.59,485.99,568.7,500.02,553.15,493.01,537.59,493.01,568.7,493.01,31.11,14.03,1
2.4,1, black car,535.2,485.49,566.54,499.62,550.87,492.56,535.2,492.56,566.54,492.56,31.34,14.13,1
2.43,1, black car,533.31,485.25,564.41,499.3,548.86,492.28,533.31,492.28,564.41,492.28,31.09,14.05,1
2.47,1, black car,530.86,485.07,562.07,499.22,546.47,492.14,530.86,492.14,562.07,492.14,31.21,14.15,1
2.5,1, black car,528.05,484.64,559.76,499.05,543.91,491.85,528.05,491.85,559.76,491.85,31.71,14.41,1
2.53,1, black car,525.76,484.57,557.67,499.05,541.72,491.81,525.76,491.81,557.67,491.81,31.91,14.48,1
2.57,1, black car,523.76,484.55,555.35,498.84,539.56,491.69,523.76,491.69,555.35,491.69,31.58,14.29,1
2.6,1, black car,521.66,484.16,553.01,498.36,537.33,491.26,521.66,491.26,553.01,491.26,31.36,14.19,1
2.63,1, black car,520.19,484.01,551.02,498.0,535.61,491.01,520.19,491.01,551.02,491.01,30.84,13.99,1
2.67,1, black car,518.24,483.74,548.96,497.77,533.6,490.76,518.24,490.76,548.96,490.76,30.73,14.02,1
2.7,1, black car,516.7,483.51,547.46,497.62,532.08,490.57,516.7,490.57,547.46,490.57,30.76,14.11,1
2.73,1, black car,514.86,483.57,545.86,497.84,530.36,490.7,514.86,490.7,545.86,490.7,30.99,14.26,1
2.77,1, black car,512.37,483.39,543.77,497.83,528.07,490.61,512.37,490.61,543.77,490.61,31.4,14.44,1
2.8,1, black car,509.68,483.26,541.52,497.84,525.6,490.55,509.68,490.55,541.52,490.55,31.84,14.58,1
2.83,1, black car,507.58,482.92,539.62,497.51,523.6,490.22,507.58,490.22,539.62,490.22,32.03,14.59,1
2.87,1, black car,505.88,482.71,537.75,497.13,521.82,489.92,505.88,489.92,537.75,489.92,31.87,14.41,1
2.9,1, black car,503.68,482.26,535.31,496.48,519.5,489.37,503.68,489.37,535.31,489.37,31.63,14.21,1
2.93,1, black car,501.02,481.84,532.93,496.15,516.97,488.99,501.02,488.99,532.93,488.99,31.9,14.31,1
2.97,1, black car,498.92,481.67,530.88,496.0,514.9,488.83,498.92,488.83,530.88,488.83,31.96,14.33,1
3.0,1, black car,497.4,481.49,529.47,495.87,513.43,488.68,497.4,488.68,529.47,488.68,32.07,14.38,1
3.03,1, black car,495.82,481.36,528.11,495.83,511.97,488.6,495.82,488.6,528.11,488.6,32.29,14.47,1
3.07,1, black car,494.7,481.09,527.03,495.55,510.87,488.32,494.7,488.32,527.03,488.32,32.32,14.46,1
3.1,1, black car,492.89,480.83,525.4,495.34,509.14,488.08,492.89,488.08,525.4,488.08,32.51,14.51,1
3.13,1, black car,490.97,480.4,523.6,494.94,507.28,487.67,490.97,487.67,523.6,487.67,32.63,14.54,1
3.17,1, black car,488.21,480.14,520.94,494.7,504.58,487.42,488.21,487.42,520.94,487.42,32.73,14.56,1
3.2,1, black car,486.01,480.05,518.51,494.56,502.26,487.3,486.01,487.3,518.51,487.3,32.51,14.51,1
3.23,1, black car,483.99,479.74,516.37,494.22,500.18,486.98,483.99,486.98,516.37,486.98,32.38,14.48,1
