frame,leading,right_leading,left_leading,following,right_following,left_following
0.73,12.0,,,,,
0.77,12.0,,,,,
0.8,12.0,,,,,
0.83,12.0,,,,,
0.87,12.0,,,,,
0.9,12.0,,,,,
0.93,12.0,,,,,
0.97,12.0,,,,,
1.0,12.0,,,,,
1.03,12.0,,,,,
1.07,12.0,,,,,
1.1,12.0,,,,,
1.13,12.0,,,,,
1.17,12.0,,,,,
1.2,12.0,,,,,
1.23,12.0,,,,,
1.27,12.0,,,,,
1.3,12.0,,,,,
1.33,12.0,,,,,
1.37,12.0,,,,,
1.4,12.0,,,,,
1.43,12.0,,,,,
1.47,12.0,,,,,
1.5,12.0,,,,,
1.53,12.0,,,,,
1.57,12.0,,,,,
1.6,12.0,,,,,
1.63,12.0,,,,,
1.67,12.0,,,,,
1.7,12.0,,,,,
1.73,12.0,,,,,
1.77,12.0,,,,,
1.8,12.0,,,,,
1.83,12.0,,,,,
1.87,12.0,,,,,
1.9,12.0,,,,,
1.93,12.0,,,,,
1.97,12.0,,,,,
2.0,12.0,,,,,
2.03,12.0,,,,,
2.07,12.0,,,,,
2.1,12.0,,,,,
2.13,12.0,,,,,
2.17,12.0,,,,,
2.2,12.0,,,,,
2.23,12.0,,,,,
2.27,12.0,,,,39.0,
2.3,12.0,,,,,
2.33,12.0,,,,39.0,
2.37,12.0,,,,,
2.4,12.0,,,,,
2.43,12.0,,,,,
2.47,12.0,,,,7.0,
2.5,12.0,,,,7.0,
2.53,12.0,,,,7.0,
2.57,12.0,,,,7.0,
2.6,12.0,,,,7.0,
2.63,12.0,,,,7.0,
2.67,12.0,,,,7.0,
2.7,12.0,,,,7.0,
2.73,12.0,,,,7.0,
2.77,12.0,,,,39.0,45.0
2.8,12.0,,,,39.0,
2.83,12.0,,,,,
2.87,12.0,,,,39.0,
2.9,12.0,,,,39.0,
2.93,12.0,,,,39.0,
2.97,12.0,,,,,
3.0,12.0,,,,39.0,
3.03,12.0,,,,39.0,
3.07,12.0,,,,39.0,47.0
3.1,12.0,,,,39.0,47.0
