frame,ID,center_x,center_y,v_x,v_y,a_x,a_y,lane,preceding_rel_v_x,preceding_rel_v_y,right_preceding_rel_v_x,right_preceding_rel_v_y,left_preceding_rel_v_x,left_preceding_rel_v_y,following_rel_v_x,following_rel_v_y,right_following_rel_v_x,right_following_rel_v_y,left_following_rel_v_x,left_following_rel_v_y,preceding_distance,right_preceding_distance,left_preceding_distance,following_distance,right_following_distance,left_following_distance
0.0,17,754.91,513.61,0.0,0.0,0.0,0.0,1,,,,,,,,,,,0.0,0.0,,,,,,36.18265468425447
0.03,17,753.44,513.8,-13.61,1.76,0.0,0.0,1,,,,,,,,,,,13.61,-1.76,,,,,,36.540457030529964
0.07,17,751.32,513.92,-19.63,1.11,-200.67,-21.67,1,,,,,,,,,,,19.63,-1.11,,,,,,37.27767428367827
0.1,17,749.04,513.82,-21.11,-0.93,-49.33,-68.0,1,,,,,,,,,,,21.11,0.93,,,,,,38.44544836518365
0.13,17,747.23,513.75,-16.76,-0.65,145.0,9.33,1,,,,,,,,,,,16.76,0.65,,,,,,39.305787105717705
0.17,17,744.9,513.68,-21.57,-0.65,-160.33,0.0,1,,,,,,,,,,,21.57,0.65,,,,,,40.68727810999412
0.2,17,742.81,513.69,-19.35,0.09,74.0,24.67,1,,,,,,,,,,,19.35,-0.09,,,,,,41.90871031181944
0.23,17,740.7,513.59,-19.54,-0.93,-6.33,-34.0,1,,,,,,,,,,,19.54,0.93,,,,,,43.31351752051549
0.27,17,738.78,513.63,-17.78,0.37,58.67,43.33,1,,,,,,,,,,,17.78,-0.37,,,,,,44.53953300159318
0.3,17,736.84,513.66,-17.96,0.28,-6.0,-3.0,1,,,,,,,,,,,17.96,-0.28,,,,,,45.83593022946088
0.33,17,734.69,513.5,-19.91,-1.48,-65.0,-58.67,1,,,,,,,,,,,19.91,1.48,,,,,,47.53883149594657
0.37,17,732.72,513.47,-18.24,-0.28,55.67,40.0,1,,,,,,,,,,,18.24,0.28,,,,,,49.02499362570081
0.4,17,730.33,513.4,-22.13,-0.65,-129.67,-12.33,1,,,,,,,,,,,22.13,0.65,,,,,,50.875617932365245
0.43,17,727.9,513.36,-22.5,-0.37,-12.33,9.33,1,,,,,,,,,,,22.5,0.37,,,,,,52.6782165605481
