frame,ID,center_x,center_y,v_x,v_y,a_x,a_y,lane,preceding_rel_v_x,preceding_rel_v_y,right_preceding_rel_v_x,right_preceding_rel_v_y,left_preceding_rel_v_x,left_preceding_rel_v_y,following_rel_v_x,following_rel_v_y,right_following_rel_v_x,right_following_rel_v_y,left_following_rel_v_x,left_following_rel_v_y,preceding_distance,right_preceding_distance,left_preceding_distance,following_distance,right_following_distance,left_following_distance
1.33,9,1233.54,550.63,-31.11,-0.93,-49.33,27.67,2,,,31.11,0.93,,,31.11,0.93,,,,,,49.038479788835176,,194.39566713278367,,
1.37,9,1230.5,550.39,-28.15,-2.22,98.67,-43.0,2,,,28.15,2.22,,,28.15,2.22,,,,,,51.916449223728634,,197.45389360557067,,
1.4,9,1227.35,550.18,-29.17,-1.94,-34.0,9.33,2,,,29.17,1.94,,,29.17,1.94,,,,,,54.934382676061844,,200.63046952045954,,
1.43,9,1224.37,549.89,-27.59,-2.69,52.67,-25.0,2,,,27.59,2.69,,,27.59,2.69,,,,,,57.57773614861914,,203.84112686109242,,
1.47,9,1221.29,549.66,-28.52,-2.13,-31.0,18.67,2,,,28.52,2.13,,,28.52,2.13,,,,,,60.47004299651195,,207.00879329149282,,
1.5,9,1218.12,549.51,-29.35,-1.39,-27.67,24.67,2,,,29.35,1.39,,,29.35,1.39,,,,,,63.41552648996934,,210.34209207859462,,
1.53,9,1214.89,549.31,-29.91,-1.85,-18.67,-15.33,2,,,29.91,1.85,,,29.91,1.85,,,,,,66.49812779319417,,213.6480229255587,,
1.57,9,1211.77,549.21,-28.89,-0.93,34.0,30.67,2,,,28.89,0.93,,,28.89,0.93,,,,,,69.53423976718236,,216.79897647359869,,
1.6,9,1208.57,548.97,-29.63,-2.22,-24.67,-43.0,2,,,29.63,2.22,,,29.63,2.22,,,,,,72.73305300893124,,219.9272193249395,,
1.63,9,1205.3,548.75,-30.28,-2.04,-21.67,6.0,2,,,30.28,2.04,,,30.28,2.04,,,,,,76.14948062856374,,223.00451228618675,,
1.67,9,1202.32,548.48,-27.59,-2.5,89.67,-15.33,2,,,27.59,2.5,,,27.59,2.5,,,,,,78.99032409099219,,226.0644795185657,,
1.7,9,1198.96,548.3,-31.11,-1.67,-117.33,27.67,2,,,31.11,1.67,,,31.11,1.67,,,,,,82.39297542873415,,229.349407891104,,
1.73,9,1195.65,548.09,-30.65,-1.94,15.33,-9.0,2,,,30.65,1.94,,,30.65,1.94,,,,,,85.79646263104323,,232.52607617211456,,
1.77,9,1192.76,547.95,-26.76,-1.3,129.67,21.33,2,,,26.76,1.3,,,26.76,1.3,,,,,,88.63454236357278,,235.4394074916093,,
1.8,9,1189.66,547.83,-28.7,-1.11,-64.67,6.33,2,,,28.7,1.11,,,28.7,1.11,,,,,,91.67582560304547,,238.57137820786468,,
1.83,9,1186.56,547.47,-28.7,-3.33,0.0,-74.0,2,,,28.7,3.33,,,28.7,3.33,,,,,,94.61668404673675,,241.7959623318802,,
1.87,9,1183.6,547.23,-27.41,-2.22,43.0,37.0,2,,,27.41,2.22,,,27.41,2.22,,,,,,97.6022812233403,,244.71464708921707,,
1.9,9,1180.27,546.97,-30.83,-2.41,-114.0,-6.33,2,,,30.83,2.41,,,30.83,2.41,,,,,,100.68849239113665,,248.2635190679453,,
1.93,9,1177.39,546.81,-26.67,-1.48,138.67,31.0,2,,,26.67,1.48,,,26.67,1.48,,,,,,103.68555203112909,,250.99817728421866,,
1.97,9,1174.13,546.75,-30.19,-0.56,-117.33,30.67,2,,,30.19,0.56,,,30.19,0.56,,,,,,106.79144581847369,,254.39646892203515,,
2.0,9,1170.95,546.83,-29.44,0.74,25.0,43.33,2,,,29.44,-0.74,,,29.44,-0.74,,,,,,109.97836969149873,,257.55773119826944,,
2.03,9,1167.56,546.61,-31.39,-2.04,-65.0,-92.67,2,,,31.39,2.04,,,31.39,2.04,,,,,,113.5827896294152,,260.72493877648157,,
2.07,9,1164.55,546.58,-27.87,-0.28,117.33,58.67,2,,,27.87,0.28,,,27.87,0.28,,,,,,116.65326742101986,,263.6424677475159,,
2.1,9,1161.46,546.37,-28.61,-1.94,-24.67,-55.33,2,,,28.61,1.94,,,28.61,1.94,,,,,,119.7523398518793,,266.7192595220676,,
2.13,9,1158.39,546.12,-28.43,-2.31,6.0,-12.33,2,,,28.43,2.31,,,28.43,2.31,,,,,,122.75056333882951,,269.83811813752334,,
2.17,9,1155.59,545.85,-25.93,-2.5,83.33,-6.33,2,,,25.93,2.5,,,25.93,2.5,,,,,,125.59942117701009,,272.5885956895483,,
2.2,9,1152.24,545.66,-31.02,-1.76,-169.67,24.67,2,,,31.02,1.76,,,31.02,1.76,,,,,,129.1031823775075,,275.78419044608063,,
2.23,9,1149.06,545.39,-29.44,-2.5,52.67,-24.67,2,,,29.44,2.5,,,29.44,2.5,,,,,,131.99475936566566,,279.24370306239666,,
