frame,ID,center_x,center_y,v_x,v_y,a_x,a_y,lane,preceding_rel_v_x,preceding_rel_v_y,right_preceding_rel_v_x,right_preceding_rel_v_y,left_preceding_rel_v_x,left_preceding_rel_v_y,following_rel_v_x,following_rel_v_y,right_following_rel_v_x,right_following_rel_v_y,left_following_rel_v_x,left_following_rel_v_y,preceding_distance,right_preceding_distance,left_preceding_distance,following_distance,right_following_distance,left_following_distance
0.6,28,1429.3,546.57,0.0,0.0,0.0,0.0,2,0.0,0.0,,,,,,,,,,,69.23000650007194,,,,,
0.63,28,1427.11,546.52,-20.28,-0.46,0.0,0.0,2,20.28,0.46,,,,,,,,,,,66.99000298552016,,,,,
0.67,28,1424.38,546.46,-25.28,-0.56,-166.67,-3.33,2,25.28,0.56,,,,,,,,,,,64.43004966628544,,,,,
0.7,28,1421.96,546.39,-22.41,-0.65,95.67,-3.0,2,22.41,0.65,,,,,,,,,,,62.08018121751917,,,,,
0.73,28,1419.55,546.43,-22.31,0.37,3.33,34.0,2,22.31,-0.37,,,,,,,,,,,59.52010164641856,,,,,
0.77,28,1416.83,546.3,-25.19,-1.2,-96.0,-52.33,2,25.19,1.2,,,,,,,,,,,56.880506326860456,,,,,
0.8,28,1414.06,546.15,-25.65,-1.39,-15.33,-6.33,2,25.65,1.39,,,,,,,,,,,54.10140571186681,,,,,
0.83,28,1411.59,546.11,-22.87,-0.37,92.67,34.0,2,22.87,0.37,,,,,,,,,,,51.58179233024009,,,,,
0.87,28,1408.91,545.78,-24.81,-3.06,-64.67,-89.67,2,24.81,3.06,,,,,,,,,,,49.14587673447296,,,,,
0.9,28,1406.58,545.59,-21.57,-1.76,108.0,43.33,2,21.57,1.76,,,,,,,,,,,46.87962670499852,,,,,
0.93,28,1404.43,545.85,-19.91,2.41,55.33,139.0,2,19.91,-2.41,,,,,,,,,,,44.74532042571604,,,,,
0.97,28,1401.98,545.6,-22.69,-2.31,-92.67,-157.33,2,22.69,2.31,,,,,,,,,,,41.9505327737325,,,,,
1.0,28,1399.6,545.32,-22.04,-2.59,21.67,-9.33,2,22.04,2.59,,,,,,,,,,,39.53882648739082,,,,,
1.03,28,1396.96,545.23,-24.44,-0.83,-80.0,58.67,2,24.44,0.83,,,,,,,,,,,36.993202078219745,,,,,
1.07,28,1394.37,545.34,-23.98,1.02,15.33,61.67,2,23.98,-1.02,,,,,,,,,,,34.59082103680101,,,,,
1.1,28,1391.69,545.17,-24.81,-1.57,-27.67,-86.33,2,24.81,1.57,,,,,,,,,,,31.849478802642846,,,,,
1.13,28,1388.95,545.17,-25.37,0.0,-18.67,52.33,2,25.37,0.0,,,,,,,,,,,28.852544081934894,,,,,
1.17,28,1386.51,545.07,-22.59,-0.93,92.67,-31.0,2,22.59,0.93,,,,,,,,,,,26.291127781059522,,,,,
1.2,28,1384.11,545.03,-22.22,-0.37,12.33,18.67,2,22.22,0.37,,,,,,,,,,,23.99755404202691,,,,,
1.23,28,1381.58,545.01,-23.43,-0.19,-40.33,6.0,2,23.43,0.19,,,,,,,,,,,21.44464968238008,,,,,
1.27,28,1379.35,544.97,-20.65,-0.37,92.67,-6.0,2,20.65,0.37,,,,,,,,,,,19.164417549197914,,,,,
1.3,28,1376.85,544.93,-23.15,-0.37,-83.33,0.0,2,23.15,0.37,,,,,,,23.15,0.37,,,16.72765972872485,,,,55.21022006838947,
1.33,28,1374.04,544.86,-26.02,-0.65,-95.67,-9.33,2,26.02,0.65,,,,,,,26.02,0.65,,,13.97137430605891,,,,57.911668081656806,
1.37,28,1371.87,544.69,-20.09,-1.57,197.67,-30.67,2,20.09,1.57,,,,,,,20.09,1.57,,,11.786097742679805,,,,59.91480701796511,
1.4,28,1369.63,544.48,-20.74,-1.94,-21.67,-12.33,2,20.74,1.94,,,,,,,20.74,1.94,,,9.544946306815906,,,,61.94570687303506,
1.43,28,1367.18,544.34,-22.69,-1.3,-65.0,21.33,2,22.69,1.3,,,,,,,22.69,1.3,,,7.2803571340972315,,,,64.35197743659482,
1.47,28,1364.79,544.18,-22.13,-1.48,18.67,-6.0,2,22.13,1.48,,,,,,,22.13,1.48,,,5.241373865695965,,,,66.75257373315283,
1.5,28,1362.16,544.15,-24.35,-0.28,-74.0,40.0,2,24.35,0.28,,,,,,,24.35,0.28,,,3.2080679543925443,,,,69.38514898737323,
1.53,28,1359.54,544.0,-24.26,-1.39,3.0,-37.0,2,24.26,1.39,,,,,,,24.26,1.39,,,2.5947061490657832,,,,71.86112509556195,
1.57,28,1357.15,543.9,-22.13,-0.93,71.0,15.33,2,22.13,0.93,,,,,,,22.13,0.93,,,3.973726211001469,,,,74.1386120722528,
1.6,28,1354.79,543.92,-21.85,0.19,9.33,37.33,2,21.85,-0.19,,,,,,,21.85,-0.19,,,5.867444077279307,,,,76.53258260375117,
1.63,28,1352.31,543.75,-22.96,-1.57,-37.0,-58.67,2,22.96,1.57,,,,,,,22.96,1.57,,,8.27455134735408,,,,78.88316677213211,
1.67,28,1349.49,543.7,-26.11,-0.46,-105.0,37.0,2,26.11,0.46,,,,,,,26.11,0.46,,,11.118817383157236,,,,81.50653532079488,
1.7,28,1347.17,543.79,-21.48,0.83,154.33,43.0,2,21.48,-0.83,,,,,21.48,-0.83,21.48,-0.83,,,13.57153639054912,,,83.21850755691317,83.56819730016919,
1.73,28,1344.94,543.66,-20.65,-1.2,27.67,-67.67,2,20.65,1.2,,,,,20.65,1.2,20.65,1.2,,,15.627667772255618,,,85.61171064755098,85.8974563069244,
1.77,28,1342.46,543.34,-22.96,-2.96,-77.0,-58.67,2,22.96,2.96,,,,,22.96,2.96,22.96,2.96,,,17.996780267592335,,,88.24224498504111,88.4253142488055,
1.8,28,1340.09,543.25,-21.94,-0.83,34.0,71.0,2,21.94,0.83,,,,,21.94,0.83,21.94,0.83,,,20.199727720937286,,,90.75383187502338,90.88734125278395,
1.83,28,1338.0,543.15,-19.35,-0.93,86.33,-3.33,2,19.35,0.93,,,,,19.35,0.93,19.35,0.93,,,22.36837499685651,,,92.76623146382529,92.85649842633525,
1.87,28,1335.72,543.11,-21.11,-0.37,-58.67,18.67,2,21.11,0.37,,,,,21.11,0.37,21.11,0.37,,,24.49137399167306,,,95.17588980408843,95.23194842068483,
1.9,28,1333.17,543.17,-23.61,0.56,-83.33,31.0,2,23.61,-0.56,,,,,23.61,-0.56,23.61,-0.56,,,26.951521292869543,,,97.80153628650218,97.84143549641938,
1.93,28,1330.65,543.14,-23.33,-0.28,9.33,-28.0,2,23.33,0.28,,,,,23.33,0.28,23.33,0.28,,,29.4767433750745,,,100.2808905026277,100.29063066907096,
1.97,28,1328.49,542.93,-20.0,-1.94,111.0,-55.33,2,20.0,1.94,,,,,20.0,1.94,20.0,1.94,,,31.77572973198249,,,102.33742228530089,102.29041988377988,
2.0,28,1325.97,542.83,-23.33,-0.93,-111.0,33.67,2,23.33,0.93,,,,,23.33,0.93,23.33,0.93,,,34.60942357220053,,,104.51966322180728,104.43620253532778,
2.03,28,1323.84,542.67,-19.72,-1.48,120.33,-18.33,2,19.72,1.48,,,,,19.72,1.48,19.72,1.48,,,36.684701170924114,,,106.73424989196307,106.60534555077437,
2.07,28,1321.5,542.72,-21.67,0.46,-65.0,64.67,2,21.67,-0.46,,,,,21.67,-0.46,21.67,-0.46,,,38.8582204945104,,,109.22039965134728,109.08085304030224,
2.1,28,1318.94,542.83,-23.7,1.02,-67.67,18.67,2,23.7,-1.02,,,,,23.7,-1.02,23.7,-1.02,,,41.20735007252949,,,111.94437591947161,111.80267483383378,
2.13,28,1316.46,542.71,-22.96,-1.11,24.67,-71.0,2,22.96,1.11,,,,,22.96,1.11,22.96,1.11,,,44.05679289281039,,,114.05735574701004,113.88134526778298,
2.17,28,1314.23,542.51,-20.65,-1.85,77.0,-24.67,2,20.65,1.85,,,,,20.65,1.85,20.65,1.85,,,46.27581333699054,,,116.32324617203564,116.10067527796724,
2.2,28,1311.65,542.55,-23.89,0.37,-108.0,74.0,2,23.89,-0.37,,,,,23.89,-0.37,23.89,-0.37,,,48.80337795685856,,,118.92994618682032,118.69728092926125,
2.23,28,1309.62,542.4,-18.8,-1.39,169.67,-58.67,2,18.8,1.39,,,,,18.8,1.39,18.8,1.39,,,50.96841767212315,,,120.8441876963886,120.57739796495855,
