frame,ID,center_x,center_y,v_x,v_y,a_x,a_y,lane,preceding_rel_v_x,preceding_rel_v_y,right_preceding_rel_v_x,right_preceding_rel_v_y,left_preceding_rel_v_x,left_preceding_rel_v_y,following_rel_v_x,following_rel_v_y,right_following_rel_v_x,right_following_rel_v_y,left_following_rel_v_x,left_following_rel_v_y,preceding_distance,right_preceding_distance,left_preceding_distance,following_distance,right_following_distance,left_following_distance
0.0,1,1206.42,546.97,0.0,0.0,0.0,0.0,2,,,0.0,0.0,,,0.0,0.0,,,,,,91.17062300982704,,109.519744338635,,
0.03,1,1204.01,546.6,-22.31,-3.43,0.0,0.0,2,,,22.31,3.43,,,22.31,3.43,,,,,,88.59064566871592,,111.80487019803728,,
0.07,1,1201.06,546.54,-27.31,-0.56,-166.67,95.67,2,,,27.31,0.56,,,27.31,0.56,,,,,,85.5421001612656,,114.55452369941558,,
0.1,1,1198.5,546.51,-23.7,-0.28,120.33,9.33,2,,,23.7,0.28,,,23.7,0.28,,,,,,82.83582437568907,,116.86329321048592,,
0.13,1,1195.56,546.32,-27.22,-1.76,-117.33,-49.33,2,,,27.22,1.76,,,27.22,1.76,,,,,,79.87044760109968,,119.7391034708377,,
0.17,1,1192.8,546.31,-25.56,-0.09,55.33,55.67,2,,,25.56,0.09,,,25.56,0.09,,,,,,77.21138387569549,,122.47646304494583,,
0.2,1,1189.9,546.01,-26.85,-2.78,-43.0,-89.67,2,,,26.85,2.78,,,26.85,2.78,,,,,,74.71324514435162,,125.77703804749089,,
0.23,1,1187.07,545.79,-26.2,-2.04,21.67,24.67,2,,,26.2,2.04,,,26.2,2.04,,,,,,72.10842530523045,,128.77419927920334,,
0.27,1,1184.4,545.53,-24.72,-2.41,49.33,-12.33,2,,,24.72,2.41,,,24.72,2.41,,,,,,69.59120777799454,,131.56364847479705,,
0.3,1,1181.58,545.27,-26.11,-2.41,-46.33,0.0,2,,,26.11,2.41,,,26.11,2.41,,,,,,66.84113478988807,,134.40314468047242,,
0.33,1,1179.22,545.32,-21.85,0.46,142.0,95.67,2,,,21.85,-0.46,,,21.85,-0.46,,,,,,64.62413481045608,,136.76766028560982,,
0.37,1,1176.44,545.18,-25.74,-1.3,-129.67,-58.67,2,,,25.74,1.3,,,25.74,1.3,,,,,,61.92982883877529,,139.51123144750738,,
0.4,1,1173.7,544.91,-25.37,-2.5,12.33,-40.0,2,,,25.37,2.5,,,25.37,2.5,,,,,,59.219365920279685,,142.22135563972097,,
0.43,1,1170.95,544.67,-25.46,-2.22,-3.0,9.33,2,,,25.46,2.22,,,25.46,2.22,,,,,,56.40786204067656,,144.79024967172333,,
0.47,1,1168.04,544.52,-26.94,-1.39,-49.33,27.67,2,,,26.94,1.39,,,26.94,1.39,,,,,,53.763505280068976,,147.83394231366478,,
0.5,1,1165.61,544.44,-22.5,-0.74,148.0,21.67,2,,,22.5,0.74,,,22.5,0.74,,,,,,51.60348825418676,,150.38470201453342,,
0.53,1,1162.7,544.26,-26.94,-1.67,-148.0,-31.0,2,,,26.94,1.67,,,26.94,1.67,,,,,,48.90571847953978,,153.3300551098837,,
0.57,1,1159.97,544.06,-25.28,-1.85,55.33,-6.0,2,,,25.28,1.85,,,25.28,1.85,,,,,,46.66286424985063,,156.4262423636137,,
0.6,1,1157.15,543.81,-26.11,-2.31,-27.67,-15.33,2,,,26.11,2.31,,,26.11,2.31,,,,,,44.055076892453506,,159.2953382870948,,
0.63,1,1154.26,543.83,-26.76,0.19,-21.67,83.33,2,,,26.76,-0.19,,,26.76,-0.19,,,,,,41.56376546945668,,162.2404034141927,,
0.67,1,1151.62,543.88,-24.44,0.46,77.33,9.0,2,,,24.44,-0.46,,,24.44,-0.46,,,,,,39.20992221364379,,164.80462402493436,,
0.7,1,1148.94,543.75,-24.81,-1.2,-12.33,-55.33,2,,,24.81,1.2,,,24.81,1.2,,,,,,36.735324961132456,,167.347946506672,,
