0.10, 8, white car, 42.89, 397.85, 72.57, 411.23, 57.73, 404.54, 42.89, 404.54, 72.57, 404.54, 29.68, 13.38
0.10, 15, black car, 1336.38, 538.35, 1365.04, 551.44, 1350.71, 544.90, 1336.38, 544.90, 1365.04, 544.90, 28.66, 13.09
0.10, 16, white car, 503.85, 464.34, 533.18, 477.81, 518.52, 471.07, 503.85, 471.07, 533.18, 471.07, 29.33, 13.47
0.10, 18, white car, 161.41, 414.20, 189.42, 427.97, 175.41, 421.08, 161.41, 421.08, 189.42, 421.08, 28.01, 13.77
0.10, 24, white car, 256.91, 427.27, 287.62, 441.68, 272.27, 434.48, 256.91, 434.48, 287.62, 434.48, 30.71, 14.41
0.10, 26, black car, 310.50, 434.79, 336.22, 448.09, 323.36, 441.44, 310.50, 441.44, 336.22, 441.44, 25.72, 13.31
0.10, 30, black car, 220.46, 422.51, 247.44, 435.41, 233.95, 428.96, 220.46, 428.96, 247.44, 428.96, 26.99, 12.90
0.10, 33, white car, 819.78, 503.60, 847.37, 516.13, 833.58, 509.87, 819.78, 509.87, 847.37, 509.87, 27.59, 12.53
0.10, 35, white car, 124.64, 410.08, 148.24, 421.95, 136.44, 416.01, 124.64, 416.01, 148.24, 416.01, 23.60, 11.88
0.13, 1, white car, 653.21, 483.74, 683.09, 496.84, 668.15, 490.29, 653.21, 490.29, 683.09, 490.29, 29.88, 13.10
0.13, 2, white car, 453.85, 455.37, 484.25, 469.54, 469.05, 462.45, 453.85, 462.45, 484.25, 462.45, 30.40, 14.18
0.13, 7, white car, 361.28, 442.18, 391.09, 455.78, 376.18, 448.98, 361.28, 448.98, 391.09, 448.98, 29.81, 13.60
0.13, 8, white car, 42.88, 397.84, 72.58, 411.23, 57.73, 404.54, 42.88, 404.54, 72.58, 404.54, 29.70, 13.40
0.13, 15, black car, 1334.04, 538.35, 1362.97, 551.58, 1348.51, 544.96, 1334.04, 544.96, 1362.97, 544.96, 28.93, 13.23
0.13, 16, white car, 503.33, 464.22, 532.67, 477.68, 518.00, 470.95, 503.33, 470.95, 532.67, 470.95, 29.34, 13.46
0.13, 18, white car, 161.39, 414.19, 189.44, 427.97, 175.41, 421.08, 161.39, 421.08, 189.44, 421.08, 28.04, 13.78
0.13, 24, white car, 256.91, 427.26, 287.63, 441.68, 272.27, 434.47, 256.91, 434.47, 287.63, 434.47, 30.71, 14.42
0.13, 26, black car, 310.56, 434.78, 336.25, 448.08, 323.41, 441.43, 310.56, 441.43, 336.25, 441.43, 25.69, 13.30
0.13, 30, black car, 220.46, 422.51, 247.45, 435.41, 233.95, 428.96, 220.46, 428.96, 247.45, 428.96, 26.99, 12.90
0.13, 33, white car, 818.02, 503.29, 845.71, 515.86, 831.87, 509.58, 818.02, 509.58, 845.71, 509.58, 27.69, 12.57
0.13, 35, white car, 124.64, 410.07, 148.25, 421.95, 136.44, 416.01, 124.64, 416.01, 148.25, 416.01, 23.61, 11.89
0.17, 1, white car, 652.00, 483.72, 681.67, 496.73, 666.84, 490.23, 652.00, 490.23, 681.67, 490.23, 29.67, 13.01
0.17, 2, white car, 453.65, 455.35, 483.96, 469.49, 468.80, 462.42, 453.65, 462.42, 483.96, 462.42, 30.31, 14.14
0.17, 7, white car, 361.28, 442.17, 391.11, 455.78, 376.20, 448.98, 361.28, 448.98, 391.11, 448.98, 29.83, 13.61
0.17, 8, white car, 42.89, 397.84, 72.57, 411.23, 57.73, 404.53, 42.89, 404.53, 72.57, 404.53, 29.68, 13.39
0.17, 15, black car, 1331.09, 538.17, 1360.68, 551.72, 1345.88, 544.94, 1331.09, 544.94, 1360.68, 544.94, 29.60, 13.56
0.17, 16, white car, 502.82, 464.31, 532.02, 477.69, 517.42, 471.00, 502.82, 471.00, 532.02, 471.00, 29.20, 13.39
0.17, 18, white car, 161.39, 414.19, 189.44, 427.97, 175.41, 421.08, 161.39, 421.08, 189.44, 421.08, 28.05, 13.78
0.17, 24, white car, 256.92, 427.26, 287.62, 441.68, 272.27, 434.47, 256.92, 434.47, 287.62, 434.47, 30.71, 14.41
0.17, 26, black car, 310.59, 434.77, 336.29, 448.08, 323.44, 441.42, 310.59, 441.42, 336.29, 441.42, 25.70, 13.31
0.17, 30, black car, 220.46, 422.51, 247.44, 435.41, 233.95, 428.96, 220.46, 428.96, 247.44, 428.96, 26.98, 12.89
0.17, 33, white car, 816.60, 503.42, 844.10, 515.90, 830.35, 509.66, 816.60, 509.66, 844.10, 509.66, 27.51, 12.48
0.17, 35, white car, 124.64, 410.07, 148.24, 421.95, 136.44, 416.01, 124.64, 416.01, 148.24, 416.01, 23.60, 11.88
0.20, 1, white car, 650.73, 483.62, 680.02, 496.46, 665.38, 490.04, 650.73, 490.04, 680.02, 490.04, 29.29, 12.84
0.20, 2, white car, 453.42, 455.36, 483.55, 469.42, 468.48, 462.39, 453.42, 462.39, 483.55, 462.39, 30.13, 14.06
0.20, 7, white car, 361.25, 442.17, 391.10, 455.79, 376.18, 448.98, 361.25, 448.98, 391.10, 448.98, 29.85, 13.61
0.20, 8, white car, 42.90, 397.82, 72.57, 411.21, 57.73, 404.52, 42.90, 404.52, 72.57, 404.52, 29.68, 13.39
