frame,leading,right_leading,left_leading,following,right_following,left_following
0.0,30.0,17.0,,,32.0,
0.03,30.0,17.0,,,32.0,
0.07,30.0,17.0,,,32.0,
0.1,30.0,17.0,,,32.0,
0.13,30.0,17.0,,,32.0,
0.17,30.0,17.0,,,32.0,
0.2,30.0,17.0,,,32.0,
0.23,30.0,17.0,,,32.0,
0.27,30.0,17.0,,,32.0,
0.3,30.0,17.0,,,32.0,
0.33,30.0,17.0,,,32.0,
0.37,30.0,17.0,,,32.0,
0.4,30.0,17.0,,,32.0,
0.43,30.0,17.0,,,32.0,56.0
0.47,30.0,17.0,,,32.0,56.0
0.5,30.0,17.0,,,32.0,56.0
0.53,30.0,17.0,,,32.0,56.0
0.57,30.0,17.0,,,32.0,56.0
0.6,30.0,17.0,,,32.0,56.0
0.63,,17.0,,,32.0,56.0
0.67,,17.0,,,32.0,56.0
0.7,,17.0,,,32.0,56.0
0.73,,17.0,,,32.0,56.0
0.77,,17.0,,,32.0,56.0
0.8,,17.0,,,32.0,56.0
0.83,,17.0,,,32.0,56.0
0.87,,17.0,,,32.0,56.0
0.9,,17.0,,,32.0,56.0
0.93,,17.0,,,32.0,56.0
0.97,,17.0,,,32.0,56.0
1.0,,17.0,,,32.0,56.0
1.03,,17.0,,,32.0,56.0
1.07,,17.0,,,32.0,56.0
1.1,,17.0,,,32.0,56.0
1.13,30.0,17.0,,,32.0,56.0
1.17,30.0,17.0,,,32.0,56.0
1.2,30.0,17.0,,,32.0,56.0
1.23,30.0,17.0,,,32.0,56.0
1.27,30.0,17.0,,,32.0,56.0
1.3,30.0,17.0,,,32.0,56.0
1.33,30.0,17.0,,,32.0,56.0
1.37,30.0,17.0,,,32.0,56.0
1.4,30.0,17.0,,,32.0,56.0
1.43,30.0,17.0,,,32.0,56.0
1.47,30.0,17.0,,,32.0,56.0
1.5,30.0,17.0,,,32.0,56.0
1.53,30.0,17.0,,,32.0,56.0
1.57,30.0,17.0,,,32.0,56.0
1.6,30.0,17.0,,,32.0,56.0
1.63,30.0,17.0,,,32.0,56.0
1.67,30.0,17.0,56.0,,32.0,
1.7,30.0,17.0,56.0,,32.0,
1.73,30.0,17.0,56.0,,32.0,
1.8,30.0,17.0,56.0,,32.0,
1.83,30.0,17.0,56.0,,32.0,
1.87,30.0,17.0,56.0,,32.0,
1.9,30.0,17.0,56.0,,32.0,
1.93,30.0,17.0,56.0,,32.0,
1.97,30.0,17.0,56.0,,32.0,
2.0,30.0,17.0,56.0,,32.0,
2.03,30.0,17.0,56.0,,32.0,
2.07,30.0,17.0,56.0,,32.0,
2.1,30.0,17.0,56.0,,32.0,
2.13,30.0,17.0,56.0,,32.0,
2.17,30.0,17.0,56.0,,32.0,
2.2,30.0,17.0,56.0,,32.0,
2.23,30.0,17.0,56.0,,32.0,
2.27,30.0,17.0,56.0,,32.0,
2.3,30.0,17.0,56.0,,32.0,
2.33,30.0,17.0,56.0,,32.0,
2.37,30.0,17.0,56.0,,32.0,
2.4,30.0,17.0,56.0,,32.0,
2.43,30.0,17.0,56.0,,32.0,
2.47,30.0,17.0,56.0,,32.0,
2.5,30.0,17.0,56.0,,32.0,
2.53,30.0,17.0,56.0,,32.0,
2.57,30.0,17.0,56.0,,,
2.6,30.0,17.0,56.0,,32.0,
2.63,30.0,17.0,56.0,,32.0,
2.67,30.0,17.0,56.0,,32.0,
2.7,30.0,17.0,56.0,,32.0,
2.73,30.0,17.0,56.0,,32.0,
2.77,30.0,17.0,56.0,,32.0,
